(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*
00630	00	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00630	00	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Alaska									
00831	01	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00831	01	A0426	214.47	1.20	1.067	$274.82	$277.52	$340.24	n/a
00831	01	A0427	214.47	1.90	1.067	$435.14	$439.40	$538.71	n/a
00831	01	A0428	214.47	1.00	1.067	$229.02	$231.26	$283.53	n/a
00831	01	A0429	214.47	1.60	1.067	$366.43	$370.02	$453.65	n/a
00831	01	A0430	2910.50	1.00	1.067	$3,008.00	$4,512.00	n/a	$4,512.00
00831	01	A0431	3383.89	1.00	1.067	$3,497.25	$5,245.88	n/a	$5,245.88
00831	01	A0432	214.47	1.75	1.067	$400.78	$404.71	n/a	n/a
00831	01	A0433	214.47	2.75	1.067	$629.80	$635.98	$779.71	n/a
00831	01	A0434	214.47	3.25	1.067	$744.31	$751.61	$921.47	n/a
00831	01	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00831	01	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Oregon									
00835	01	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00835	01	A0426	214.47	1.20	1.044	$270.60	$273.25	$335.00	n/a
00835	01	A0427	214.47	1.90	1.044	$428.44	$432.65	$530.42	n/a
00835	01	A0428	214.47	1.00	1.044	$225.50	$227.71	$279.17	n/a
00835	01	A0429	214.47	1.60	1.044	$360.80	$364.33	$446.67	n/a
00835	01	A0430	2910.50	1.00	1.044	$2,974.53	$4,461.80	n/a	$4,461.80
00835	01	A0431	3383.89	1.00	1.044	$3,458.34	$5,187.50	n/a	$5,187.50
00835	01	A0432	214.47	1.75	1.044	$394.62	$398.49	n/a	n/a
00835	01	A0433	214.47	2.75	1.044	$620.12	$626.20	$767.72	n/a
00835	01	A0434	214.47	3.25	1.044	$732.87	$740.05	$907.30	n/a
00835	01	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00835	01	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
00835	99	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00835	99	A0426	214.47	1.20	0.962	$255.53	$258.03	$316.35	n/a
00835	99	A0427	214.47	1.90	0.962	$404.59	$408.55	$500.89	n/a
00835	99	A0428	214.47	1.00	0.962	$212.94	$215.03	$263.62	n/a
00835	99	A0429	214.47	1.60	0.962	$340.70	$344.04	$421.80	n/a
00835	99	A0430	2910.50	1.00	0.962	$2,855.20	$4,282.80	n/a	$4,282.80
00835	99	A0431	3383.89	1.00	0.962	$3,319.60	$4,979.39	n/a	$4,979.39
00835	99	A0432	214.47	1.75	0.962	$372.65	$376.30	n/a	n/a
00835	99	A0433	214.47	2.75	0.962	$585.59	$591.33	$724.97	n/a
00835	99	A0434	214.47	3.25	0.962	$692.06	$698.84	$856.78	n/a
00835	99	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00835	99	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Washington									
00836	02	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00836	02	A0426	214.47	1.20	1.144	$288.97	$291.81	$357.75	n/a
00836	02	A0427	214.47	1.90	1.144	$457.54	$462.03	$566.44	n/a
00836	02	A0428	214.47	1.00	1.144	$240.81	$243.17	$298.13	n/a
00836	02	A0429	214.47	1.60	1.144	$385.30	$389.07	$477.00	n/a
00836	02	A0430	2910.50	1.00	1.144	$3,120.06	$4,680.08	n/a	$4,680.08
00836	02	A0431	3383.89	1.00	1.144	$3,627.53	$5,441.30	n/a	$5,441.30
00836	02	A0432	214.47	1.75	1.144	$421.42	$425.55	n/a	n/a
00836	02	A0433	214.47	2.75	1.144	$662.23	$668.72	$819.85	n/a
00836	02	A0434	214.47	3.25	1.144	$782.63	$790.31	$968.92	n/a
00836	02	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00836	02	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
00836	99	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00836	99	A0426	214.47	1.20	1.012	$264.72	$267.31	$327.72	n/a
00836	99	A0427	214.47	1.90	1.012	$419.13	$423.24	$518.90	n/a
00836	99	A0428	214.47	1.00	1.012	$220.60	$222.76	$273.10	n/a
00836	99	A0429	214.47	1.60	1.012	$352.96	$356.42	$436.97	n/a
00836	99	A0430	2910.50	1.00	1.012	$2,927.96	$4,391.94	n/a	$4,391.94
00836	99	A0431	3383.89	1.00	1.012	$3,404.19	$5,106.29	n/a	$5,106.29
00836	99	A0432	214.47	1.75	1.012	$386.04	$389.83	n/a	n/a
00836	99	A0433	214.47	2.75	1.012	$606.64	$612.59	$751.03	n/a
00836	99	A0434	214.47	3.25	1.012	$716.94	$723.97	$887.59	n/a
00836	99	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00836	99	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Wisconsin									
00951	00	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00951	00	A0426	214.47	1.20	0.960	$255.16	$257.66	$315.89	n/a
00951	00	A0427	214.47	1.90	0.960	$404.00	$407.97	$500.17	n/a
00951	00	A0428	214.47	1.00	0.960	$212.63	$214.72	$263.25	n/a
00951	00	A0429	214.47	1.60	0.960	$340.21	$343.55	$421.19	n/a
00951	00	A0430	2910.50	1.00	0.960	$2,852.29	$4,278.44	n/a	$4,278.44
00951	00	A0431	3383.89	1.00	0.960	$3,316.21	$4,974.32	n/a	$4,974.32
00951	00	A0432	214.47	1.75	0.960	$372.11	$375.76	n/a	n/a
00951	00	A0433	214.47	2.75	0.960	$584.74	$590.48	$723.92	n/a
00951	00	A0434	214.47	3.25	0.960	$691.06	$697.84	$855.55	n/a
00951	00	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00951	00	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Illinois									
00952	12	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00952	12	A0426	214.47	1.20	0.936	$250.75	$253.21	$310.43	n/a
00952	12	A0427	214.47	1.90	0.936	$397.02	$400.91	$491.52	n/a
00952	12	A0428	214.47	1.00	0.936	$208.96	$211.01	$258.70	n/a
00952	12	A0429	214.47	1.60	0.936	$334.33	$337.61	$413.91	n/a
00952	12	A0430	2910.50	1.00	0.936	$2,817.36	$4,226.05	n/a	$4,226.05
00952	12	A0431	3383.89	1.00	0.936	$3,275.61	$4,913.41	n/a	$4,913.41
00952	12	A0432	214.47	1.75	0.936	$365.68	$369.26	n/a	n/a
00952	12	A0433	214.47	2.75	0.936	$574.64	$580.27	$711.41	n/a
00952	12	A0434	214.47	3.25	0.936	$679.12	$685.77	$840.76	n/a
00952	12	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00952	12	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
00952	15	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00952	15	A0426	214.47	1.20	1.072	$275.74	$278.45	$341.37	n/a
00952	15	A0427	214.47	1.90	1.072	$436.59	$440.87	$540.51	n/a
00952	15	A0428	214.47	1.00	1.072	$229.78	$232.04	$284.48	n/a
00952	15	A0429	214.47	1.60	1.072	$367.66	$371.26	$455.17	n/a
00952	15	A0430	2910.50	1.00	1.072	$3,015.28	$4,522.92	n/a	$4,522.92
00952	15	A0431	3383.89	1.00	1.072	$3,505.71	$5,258.57	n/a	$5,258.57
00952	15	A0432	214.47	1.75	1.072	$402.12	$406.07	n/a	n/a
00952	15	A0433	214.47	2.75	1.072	$631.91	$638.10	$782.31	n/a
00952	15	A0434	214.47	3.25	1.072	$746.80	$754.12	$924.55	n/a
00952	15	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00952	15	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Illinois (cont'd)									
00952	16	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00952	16	A0426	214.47	1.20	1.051	$271.88	$274.55	$336.60	n/a
00952	16	A0427	214.47	1.90	1.051	$430.48	$434.70	$532.94	n/a
00952	16	A0428	214.47	1.00	1.051	$226.57	$228.79	$280.50	n/a
00952	16	A0429	214.47	1.60	1.051	$362.51	$366.06	$448.80	n/a
00952	16	A0430	2910.50	1.00	1.051	$2,984.72	$4,477.08	n/a	$4,477.08
00952	16	A0431	3383.89	1.00	1.051	$3,470.18	$5,205.27	n/a	$5,205.27
00952	16	A0432	214.47	1.75	1.051	$396.50	$400.38	n/a	n/a
00952	16	A0433	214.47	2.75	1.051	$623.07	$629.17	$771.37	n/a
00952	16	A0434	214.47	3.25	1.051	$736.35	$743.57	$911.62	n/a
00952	16	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00952	16	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
00952	99	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00952	99	A0426	214.47	1.20	0.909	$245.79	$248.20	$304.29	n/a
00952	99	A0427	214.47	1.90	0.909	$389.17	$392.98	$481.80	n/a
00952	99	A0428	214.47	1.00	0.909	$204.82	$206.83	$253.58	n/a
00952	99	A0429	214.47	1.60	0.909	$327.72	$330.93	$405.72	n/a
00952	99	A0430	2910.50	1.00	0.909	$2,778.07	$4,167.11	n/a	$4,167.11
00952	99	A0431	3383.89	1.00	0.909	$3,229.92	$4,844.88	n/a	$4,844.88
00952	99	A0432	214.47	1.75	0.909	$358.44	$361.96	n/a	n/a
00952	99	A0433	214.47	2.75	0.909	$563.27	$568.79	$697.34	n/a
00952	99	A0434	214.47	3.25	0.909	$665.68	$672.21	$824.12	n/a
00952	99	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00952	99	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Michigan									
00953	01	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00953	01	A0426	214.47	1.20	1.023	$266.74	$269.35	$330.23	n/a
00953	01	A0427	214.47	1.90	1.023	$422.33	$426.48	$522.86	n/a
00953	01	A0428	214.47	1.00	1.023	$222.28	$224.46	$275.19	n/a
00953	01	A0429	214.47	1.60	1.023	$355.65	$359.14	$440.30	n/a
00953	01	A0430	2910.50	1.00	1.023	$2,943.97	$4,415.96	n/a	$4,415.96
00953	01	A0431	3383.89	1.00	1.023	$3,422.80	$5,134.21	n/a	$5,134.21
00953	01	A0432	214.47	1.75	1.023	$388.99	$392.81	n/a	n/a
00953	01	A0433	214.47	2.75	1.023	$611.27	$617.27	$756.77	n/a
00953	01	A0434	214.47	3.25	1.023	$722.41	$729.50	$894.36	n/a
00953	01	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00953	01	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
00953	99	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00953	99	A0426	214.47	1.20	0.923	$248.36	$250.80	$307.48	n/a
00953	99	A0427	214.47	1.90	0.923	$393.24	$397.10	$486.84	n/a
00953	99	A0428	214.47	1.00	0.923	$206.97	$209.00	$256.23	n/a
00953	99	A0429	214.47	1.60	0.923	$331.15	$334.40	$409.97	n/a
00953	99	A0430	2910.50	1.00	0.923	$2,798.45	$4,197.67	n/a	$4,197.67
00953	99	A0431	3383.89	1.00	0.923	$3,253.61	$4,880.42	n/a	$4,880.42
00953	99	A0432	214.47	1.75	0.923	$362.19	$365.75	n/a	n/a
00953	99	A0433	214.47	2.75	0.923	$569.16	$574.74	$704.63	n/a
00953	99	A0434	214.47	3.25	0.923	$672.65	$679.24	$832.75	n/a
00953	99	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00953	99	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Minnesota									
00954	00	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00954	00	A0426	214.47	1.20	1.012	$264.72	$267.31	$327.72	n/a
00954	00	A0427	214.47	1.90	1.012	$419.13	$423.24	$518.90	n/a
00954	00	A0428	214.47	1.00	1.012	$220.60	$222.76	$273.10	n/a
00954	00	A0429	214.47	1.60	1.012	$352.96	$356.42	$436.97	n/a
00954	00	A0430	2910.50	1.00	1.012	$2,927.96	$4,391.94	n/a	$4,391.94
00954	00	A0431	3383.89	1.00	1.012	$3,404.19	$5,106.29	n/a	$5,106.29
00954	00	A0432	214.47	1.75	1.012	$386.04	$389.83	n/a	n/a
00954	00	A0433	214.47	2.75	1.012	$606.64	$612.59	$751.03	n/a
00954	00	A0434	214.47	3.25	1.012	$716.94	$723.97	$887.59	n/a
00954	00	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00954	00	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Northern California									
01102	03	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
01102	03	A0426	214.47	1.20	1.248	$308.08	$311.10	$381.41	n/a
01102	03	A0427	214.47	1.90	1.248	$487.80	$492.58	$603.90	n/a
01102	03	A0428	214.47	1.00	1.248	$256.74	$259.25	$317.84	n/a
01102	03	A0429	214.47	1.60	1.248	$410.78	$414.80	$508.55	n/a
01102	03	A0430	2910.50	1.00	1.248	$3,271.40	$4,907.10	n/a	$4,907.10
01102	03	A0431	3383.89	1.00	1.248	$3,803.49	$5,705.24	n/a	$5,705.24
01102	03	A0432	214.47	1.75	1.248	$449.29	$453.69	n/a	n/a
01102	03	A0433	214.47	2.75	1.248	$706.02	$712.95	$874.07	n/a
01102	03	A0434	214.47	3.25	1.248	$834.39	$842.57	$1,032.99	n/a
01102	03	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
01102	03	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
01102	05	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
01102	05	A0426	214.47	1.20	1.360	$328.66	$331.89	$406.89	n/a
01102	05	A0427	214.47	1.90	1.360	$520.38	$525.49	$644.25	n/a
01102	05	A0428	214.47	1.00	1.360	$273.89	$276.57	$339.08	n/a
01102	05	A0429	214.47	1.60	1.360	$438.22	$442.52	$542.52	n/a
01102	05	A0430	2910.50	1.00	1.360	$3,434.39	$5,151.59	n/a	$5,151.59
01102	05	A0431	3383.89	1.00	1.360	$3,992.99	$5,989.49	n/a	$5,989.49
01102	05	A0432	214.47	1.75	1.360	$479.30	$484.00	n/a	n/a
01102	05	A0433	214.47	2.75	1.360	$753.19	$760.57	$932.46	n/a
01102	05	A0434	214.47	3.25	1.360	$890.13	$898.86	$1,102.00	n/a
01102	05	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
01102	05	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Northern California (cont'd)									
01102	06	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
01102	06	A0426	214.47	1.20	1.354	$327.56	$330.77	$405.53	n/a
01102	06	A0427	214.47	1.90	1.354	$518.64	$523.72	$642.09	n/a
01102	06	A0428	214.47	1.00	1.354	$272.97	$275.64	$337.94	n/a
01102	06	A0429	214.47	1.60	1.354	$436.75	$441.03	$540.70	n/a
01102	06	A0430	2910.50	1.00	1.354	$3,425.66	$5,138.49	n/a	$5,138.49
01102	06	A0431	3383.89	1.00	1.354	$3,982.84	$5,974.26	n/a	$5,974.26
01102	06	A0432	214.47	1.75	1.354	$477.69	$482.38	n/a	n/a
01102	06	A0433	214.47	2.75	1.354	$750.66	$758.02	$929.33	n/a
01102	06	A0434	214.47	3.25	1.354	$887.15	$895.84	$1,098.30	n/a
01102	06	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
01102	06	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
01102	07	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
01102	07	A0426	214.47	1.20	1.254	$309.19	$312.22	$382.78	n/a
01102	07	A0427	214.47	1.90	1.254	$489.54	$494.34	$606.07	n/a
01102	07	A0428	214.47	1.00	1.254	$257.65	$260.18	$318.98	n/a
01102	07	A0429	214.47	1.60	1.254	$412.25	$416.29	$510.37	n/a
01102	07	A0430	2910.50	1.00	1.254	$3,280.13	$4,920.20	n/a	$4,920.20
01102	07	A0431	3383.89	1.00	1.254	$3,813.64	$5,720.47	n/a	$5,720.47
01102	07	A0432	214.47	1.75	1.254	$450.90	$455.32	n/a	n/a
01102	07	A0433	214.47	2.75	1.254	$708.55	$715.50	$877.20	n/a
01102	07	A0434	214.47	3.25	1.254	$837.38	$845.59	$1,036.69	n/a
01102	07	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
01102	07	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Northern California (cont'd)									
01102	09	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
01102	09	A0426	214.47	1.20	1.337	$324.44	$327.62	$401.66	n/a
01102	09	A0427	214.47	1.90	1.337	$513.69	$518.73	$635.96	n/a
01102	09	A0428	214.47	1.00	1.337	$270.36	$273.02	$334.72	n/a
01102	09	A0429	214.47	1.60	1.337	$432.58	$436.82	$535.55	n/a
01102	09	A0430	2910.50	1.00	1.337	$3,400.92	$5,101.38	n/a	$5,101.38
01102	09	A0431	3383.89	1.00	1.337	$3,954.08	$5,931.11	n/a	$5,931.11
01102	09	A0432	214.47	1.75	1.337	$473.14	$477.78	n/a	n/a
01102	09	A0433	214.47	2.75	1.337	$743.50	$750.79	$920.47	n/a
01102	09	A0434	214.47	3.25	1.337	$878.69	$887.30	$1,087.83	n/a
01102	09	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
01102	09	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
01102	99	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
01102	99	A0426	214.47	1.20	1.085	$278.13	$280.86	$344.33	n/a
01102	99	A0427	214.47	1.90	1.085	$440.37	$444.69	$545.19	n/a
01102	99	A0428	214.47	1.00	1.085	$231.78	$234.05	$286.94	n/a
01102	99	A0429	214.47	1.60	1.085	$370.84	$374.48	$459.11	n/a
01102	99	A0430	2910.50	1.00	1.085	$3,034.20	$4,551.29	n/a	$4,551.29
01102	99	A0431	3383.89	1.00	1.085	$3,527.71	$5,291.56	n/a	$5,291.56
01102	99	A0432	214.47	1.75	1.085	$405.61	$409.58	n/a	n/a
01102	99	A0433	214.47	2.75	1.085	$637.38	$643.63	$789.09	n/a
01102	99	A0434	214.47	3.25	1.085	$753.27	$760.66	$932.56	n/a
01102	99	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
01102	99	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Southern California									
01192	17	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
01192	17	A0426	214.47	1.20	1.193	$297.98	$300.90	$368.90	n/a
01192	17	A0427	214.47	1.90	1.193	$471.80	$476.42	$584.09	n/a
01192	17	A0428	214.47	1.00	1.193	$248.31	$250.75	$307.42	n/a
01192	17	A0429	214.47	1.60	1.193	$397.30	$401.20	$491.87	n/a
01192	17	A0430	2910.50	1.00	1.193	$3,191.36	$4,787.04	n/a	$4,787.04
01192	17	A0431	3383.89	1.00	1.193	$3,710.44	$5,565.65	n/a	$5,565.65
01192	17	A0432	214.47	1.75	1.193	$434.55	$438.81	n/a	n/a
01192	17	A0433	214.47	2.75	1.193	$682.86	$689.56	$845.40	n/a
01192	17	A0434	214.47	3.25	1.193	$807.02	$814.93	$999.11	n/a
01192	17	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
01192	17	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
01192	18	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
01192	18	A0426	214.47	1.20	1.154	$290.81	$293.66	$360.03	n/a
01192	18	A0427	214.47	1.90	1.154	$460.45	$464.96	$570.05	n/a
01192	18	A0428	214.47	1.00	1.154	$242.34	$244.72	$300.02	n/a
01192	18	A0429	214.47	1.60	1.154	$387.75	$391.55	$480.04	n/a
01192	18	A0430	2910.50	1.00	1.154	$3,134.61	$4,701.91	n/a	$4,701.91
01192	18	A0431	3383.89	1.00	1.154	$3,644.45	$5,466.67	n/a	$5,466.67
01192	18	A0432	214.47	1.75	1.154	$424.10	$428.26	n/a	n/a
01192	18	A0433	214.47	2.75	1.154	$666.44	$672.97	$825.07	n/a
01192	18	A0434	214.47	3.25	1.154	$787.61	$795.33	$975.08	n/a
01192	18	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
01192	18	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Southern California (cont'd)									
01192	26	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
01192	26	A0426	214.47	1.20	1.218	$302.57	$305.54	$374.59	n/a
01192	26	A0427	214.47	1.90	1.218	$479.07	$483.77	$593.10	n/a
01192	26	A0428	214.47	1.00	1.218	$252.14	$254.61	$312.16	n/a
01192	26	A0429	214.47	1.60	1.218	$403.43	$407.38	$499.45	n/a
01192	26	A0430	2910.50	1.00	1.218	$3,227.74	$4,841.62	n/a	$4,841.62
01192	26	A0431	3383.89	1.00	1.218	$3,752.73	$5,629.10	n/a	$5,629.10
01192	26	A0432	214.47	1.75	1.218	$441.25	$445.57	n/a	n/a
01192	26	A0433	214.47	2.75	1.218	$693.39	$700.19	$858.43	n/a
01192	26	A0434	214.47	3.25	1.218	$819.46	$827.50	$1,014.51	n/a
01192	26	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
01192	26	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
01192	99	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
01192	99	A0426	214.47	1.20	1.085	$278.13	$280.86	$344.33	n/a
01192	99	A0427	214.47	1.90	1.085	$440.37	$444.69	$545.19	n/a
01192	99	A0428	214.47	1.00	1.085	$231.78	$234.05	$286.94	n/a
01192	99	A0429	214.47	1.60	1.085	$370.84	$374.48	$459.11	n/a
