(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*
Mississippi									
00512	00	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00512	00	A0426	214.47	1.20	0.866	$237.89	$240.22	$294.51	n/a
00512	00	A0427	214.47	1.90	0.866	$376.66	$380.35	$466.31	n/a
00512	00	A0428	214.47	1.00	0.866	$198.24	$200.18	$245.42	n/a
00512	00	A0429	214.47	1.60	0.866	$317.18	$320.29	$392.68	n/a
00512	00	A0430	2910.50	1.00	0.866	$2,715.50	$4,073.24	n/a	$4,073.24
00512	00	A0431	3383.89	1.00	0.866	$3,157.17	$4,735.75	n/a	$4,735.75
00512	00	A0432	214.47	1.75	0.866	$346.92	$350.32	n/a	n/a
00512	00	A0433	214.47	2.75	0.866	$545.16	$550.50	$674.92	n/a
00512	00	A0434	214.47	3.25	0.866	$644.28	$650.60	$797.63	n/a
00512	00	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00512	00	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Arkansas									
00520	13	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00520	13	A0426	214.47	1.20	0.865	$237.70	$240.03	$294.28	n/a
00520	13	A0427	214.47	1.90	0.865	$376.36	$380.05	$465.95	n/a
00520	13	A0428	214.47	1.00	0.865	$198.09	$200.03	$245.24	n/a
00520	13	A0429	214.47	1.60	0.865	$316.94	$320.05	$392.38	n/a
00520	13	A0430	2910.50	1.00	0.865	$2,714.04	$4,071.06	n/a	$4,071.06
00520	13	A0431	3383.89	1.00	0.865	$3,155.48	$4,733.22	n/a	$4,733.22
00520	13	A0432	214.47	1.75	0.865	$346.65	$350.05	n/a	n/a
00520	13	A0433	214.47	2.75	0.865	$544.74	$550.08	$674.40	n/a
00520	13	A0434	214.47	3.25	0.865	$643.78	$650.09	$797.01	n/a
00520	13	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00520	13	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Louisiana									
00528	01	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00528	01	A0426	214.47	1.20	0.976	$258.10	$260.63	$319.53	n/a
00528	01	A0427	214.47	1.90	0.976	$408.66	$412.67	$505.93	n/a
00528	01	A0428	214.47	1.00	0.976	$215.08	$217.19	$266.28	n/a
00528	01	A0429	214.47	1.60	0.976	$344.13	$347.51	$426.05	n/a
00528	01	A0430	2910.50	1.00	0.976	$2,875.57	$4,313.36	n/a	$4,313.36
00528	01	A0431	3383.89	1.00	0.976	$3,343.28	$5,014.92	n/a	$5,014.92
00528	01	A0432	214.47	1.75	0.976	$376.40	$380.09	n/a	n/a
00528	01	A0433	214.47	2.75	0.976	$591.48	$597.28	$732.27	n/a
00528	01	A0434	214.47	3.25	0.976	$699.02	$705.88	$865.41	n/a
00528	01	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00528	01	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
00528	99	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00528	99	A0426	214.47	1.20	0.877	$239.91	$242.26	$297.01	n/a
00528	99	A0427	214.47	1.90	0.877	$379.86	$383.58	$470.27	n/a
00528	99	A0428	214.47	1.00	0.877	$199.92	$201.88	$247.51	n/a
00528	99	A0429	214.47	1.60	0.877	$319.88	$323.01	$396.02	n/a
00528	99	A0430	2910.50	1.00	0.877	$2,731.50	$4,097.26	n/a	$4,097.26
00528	99	A0431	3383.89	1.00	0.877	$3,175.78	$4,763.67	n/a	$4,763.67
00528	99	A0432	214.47	1.75	0.877	$349.87	$353.30	n/a	n/a
00528	99	A0433	214.47	2.75	0.877	$549.79	$555.18	$680.65	n/a
00528	99	A0434	214.47	3.25	0.877	$649.75	$656.12	$804.41	n/a
00528	99	A0435	8.25	1.00	n/a	$8.25	$12.38	n/a	$12.38
00528	99	A0436	22.03	1.00	n/a	$22.03	$33.05	n/a	$33.05
Indiana									
00630	00	A0425	6.89	1.00	n/a	$7.03	$7.10	n/a	$10.65
00630	00	A0426	214.47	1.20	0.923	$248.36	$250.80	$307.48	n/a
00630	00	A0427	214.47	1.90	0.923	$393.24	$397.10	$486.84	n/a
00630	00	A0428	214.47	1.00	0.923	$206.97	$209.00	$256.23	n/a
00630	00	A0429	214.47	1.60	0.923	$331.15	$334.40	$409.97	n/a
00630	00	A0430	2910.50	1.00	0.923	$2,798.45	$4,197.67	n/a	$4,197.67
00630	00	A0431	3383.89	1.00	0.923	$3,253.61	$4,880.42	n/a	$4,880.42
00630	00	A0432	214.47	1.75	0.923	$362.19	$365.75	n/a	n/a
00630	00	A0433	214.47	2.75	0.923	$569.16	$574.74	$704.63	n/a
00630	00	A0434	214.47	3.25	0.923	$672.65	$679.24	$832.75	n/a
