(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) CONV FAC	(5) RVU	(6) GPCI	(7) BASE RATE & URBAN MILEAGE	(7)(a) RURAL BASE RATE & RURAL MILEAGE	(7)(b) RURAL BASE RATE - LOWEST QUARTILE*	(8) RURAL BASE/MILES 1-17*	
00953	99	A0425	1.00	1.00	0.923	$6.87	$6.94	n/a	$10.41	
00953	99	A0426	209.65	1.20	0.923	$242.78	$245.16	$300.57	n/a	
00953	99	A0427	209.65	1.90	0.923	$384.40	$388.17	$475.90	n/a	
00953	99	A0428	209.65	1.00	0.923	$202.32	$204.30	$250.47	n/a	
00953	99	A0429	209.65	1.60	0.923	$323.71	$326.88	$400.75	n/a	
00953	99	A0430	1.00	1.00	0.923	"$2,735.60"	"$4,103.40"	n/a	"$4,103.40"	
00953	99	A0431	1.00	1.00	0.923	"$3,180.54"	"$4,770.80"	n/a	"$4,770.80"	
00953	99	A0432	209.65	1.75	0.923	$354.05	$357.53	n/a	n/a	
00953	99	A0433	209.65	2.75	0.923	$556.37	$561.83	$688.80	n/a	
00953	99	A0434	209.65	3.25	0.923	$657.53	$663.98	$814.04	n/a	
00953	99	A0435	1.00	1.00	0.923	$8.07	$12.11	n/a	$12.11	
00953	99	A0436	1.00	1.00	0.923	$21.53	$32.30	n/a	$32.30	
Minnesota										
00954	00	A0425	1.00	1.00	0.983	$6.87	$6.94	n/a	$10.41	
00954	00	A0426	209.65	1.20	0.983	$253.56	$256.04	$313.91	n/a	
00954	00	A0427	209.65	1.90	0.983	$401.47	$405.40	$497.02	n/a	
00954	00	A0428	209.65	1.00	0.983	$211.30	$213.37	$261.59	n/a	
00954	00	A0429	209.65	1.60	0.983	$338.08	$341.39	$418.54	n/a	
00954	00	A0430	1.00	1.00	0.983	"$2,820.96"	"$4,231.43"	n/a	"$4,231.43"	
00954	00	A0431	1.00	1.00	0.983	"$3,279.77"	"$4,919.66"	n/a	"$4,919.66"	
00954	00	A0432	209.65	1.75	0.983	$369.77	$373.40	n/a	n/a	
00954	00	A0433	209.65	2.75	0.983	$581.07	$586.77	$719.38	n/a	
00954	00	A0434	209.65	3.25	0.983	$686.72	$693.45	$850.17	n/a	
00954	00	A0435	1.00	1.00	0.983	$8.07	$12.11	n/a	$12.11	
00954	00	A0436	1.00	1.00	0.983	$21.53	$32.30	n/a	$32.30	
Northern California										
01102	03	A0425	1.00	1.00	1.265	$6.87	$6.94	n/a	$10.41	
01102	03	A0426	229.89	1.20	1.265	$333.58	$336.85	$412.98	n/a	
01102	03	A0427	229.89	1.90	1.265	$528.17	$533.35	$653.89	n/a	
01102	03	A0428	229.89	1.00	1.265	$277.99	$280.71	$344.15	n/a	
01102	03	A0429	229.89	1.60	1.265	$444.78	$449.14	$550.65	n/a	
01102	03	A0430	1.00	1.00	1.265	"$3,222.12"	"$4,833.18"	n/a	"$4,833.18"	
01102	03	A0431	1.00	1.00	1.265	"$3,746.19"	"$5,619.28"	n/a	"$5,619.28"	
01102	03	A0432	229.89	1.75	1.265	$486.47	$491.24	n/a	n/a	
01102	03	A0433	229.89	2.75	1.265	$764.46	$771.95	$946.41	n/a	
01102	03	A0434	229.89	3.25	1.265	$903.45	$912.31	"$1,118.49"	n/a	
01102	03	A0435	1.00	1.00	1.265	$8.07	$12.11	n/a	$12.11	
01102	03	A0436	1.00	1.00	1.265	$21.53	$32.30	n/a	$32.30	
01102	05	A0425	1.00	1.00	1.441	$6.87	$6.94	n/a	$10.41	
01102	05	A0426	229.89	1.20	1.441	$368.25	$371.86	$455.90	n/a	
01102	05	A0427	229.89	1.90	1.441	$583.06	$588.78	$721.84	n/a	
01102	05	A0428	229.89	1.00	1.441	$306.87	$309.88	$379.91	n/a	
01102	05	A0429	229.89	1.60	1.441	$491.00	$495.81	$607.86	n/a	
01102	05	A0430	1.00	1.00	1.441	"$3,472.49"	"$5,208.74"	n/a	"$5,208.74"	
01102	05	A0431	1.00	1.00	1.441	"$4,037.28"	"$6,055.92"	n/a	"$6,055.92"	
01102	05	A0432	229.89	1.75	1.441	$537.03	$542.29	n/a	n/a	
01102	05	A0433	229.89	2.75	1.441	$843.90	$852.18	"$1,044.77"	n/a	
01102	05	A0434	229.89	3.25	1.441	$997.34	"$1,007.12"	"$1,234.73"	n/a	
01102	05	A0435	1.00	1.00	1.441	$8.07	$12.11	n/a	$12.11	
01102	05	A0436	1.00	1.00	1.441	$21.53	$32.30	n/a	$32.30	
01102	06	A0425	1.00	1.00	1.433	$6.87	$6.94	n/a	$10.41	
01102	06	A0426	229.89	1.20	1.433	$366.67	$370.27	$453.95	n/a	
01102	06	A0427	229.89	1.90	1.433	$580.57	$586.26	$718.75	n/a	
01102	06	A0428	229.89	1.00	1.433	$305.56	$308.56	$378.29	n/a	
01102	06	A0429	229.89	1.60	1.433	$488.90	$493.69	$605.26	n/a	
01102	06	A0430	1.00	1.00	1.433	"$3,461.11"	"$5,191.67"	n/a	"$5,191.67"	
01102	06	A0431	1.00	1.00	1.433	"$4,024.05"	"$6,036.07"	n/a	"$6,036.07"	
01102	06	A0432	229.89	1.75	1.433	$534.73	$539.97	n/a	n/a	
Northern California (cont'd)										
01102	06	A0433	229.89	2.75	1.433	$840.29	$848.53	"$1,040.30"	n/a	
01102	06	A0434	229.89	3.25	1.433	$993.07	"$1,002.81"	"$1,229.45"	n/a	
01102	06	A0435	1.00	1.00	1.433	$8.07	$12.11	n/a	$12.11	
01102	06	A0436	1.00	1.00	1.433	$21.53	$32.30	n/a	$32.30	
01102	07	A0425	1.00	1.00	1.286	$6.87	$6.94	n/a	$10.41	
01102	07	A0426	229.89	1.20	1.286	$337.72	$341.03	$418.10	n/a	
01102	07	A0427	229.89	1.90	1.286	$534.72	$539.96	$661.99	n/a	
01102	07	A0428	229.89	1.00	1.286	$281.43	$284.19	$348.42	n/a	
01102	07	A0429	229.89	1.60	1.286	$450.29	$454.71	$557.47	n/a	
01102	07	A0430	1.00	1.00	1.286	"$3,252.00"	"$4,877.99"	n/a	"$4,877.99"	
01102	07	A0431	1.00	1.00	1.286	"$3,780.92"	"$5,671.38"	n/a	"$5,671.38"	
01102	07	A0432	229.89	1.75	1.286	$492.51	$497.33	n/a	n/a	
01102	07	A0433	229.89	2.75	1.286	$773.94	$781.53	$958.16	n/a	
01102	07	A0434	229.89	3.25	1.286	$914.65	$923.62	"$1,132.36"	n/a	
01102	07	A0435	1.00	1.00	1.286	$8.07	$12.11	n/a	$12.11	
01102	07	A0436	1.00	1.00	1.286	$21.53	$32.30	n/a	$32.30	
01102	09	A0425	1.00	1.00	1.294	$6.87	$6.94	n/a	$10.41	
01102	09	A0426	229.89	1.20	1.294	$339.29	$342.62	$420.05	n/a	
01102	09	A0427	229.89	1.90	1.294	$537.22	$542.48	$665.08	n/a	
01102	09	A0428	229.89	1.00	1.294	$282.75	$285.52	$350.05	n/a	
01102	09	A0429	229.89	1.60	1.294	$452.39	$456.83	$560.07	n/a	
01102	09	A0430	1.00	1.00	1.294	"$3,263.38"	"$4,895.06"	n/a	"$4,895.06"	
01102	09	A0431	1.00	1.00	1.294	"$3,794.15"	"$5,691.22"	n/a	"$5,691.22"	
01102	09	A0432	229.89	1.75	1.294	$494.80	$499.66	n/a	n/a	
01102	09	A0433	229.89	2.75	1.294	$777.55	$785.17	$962.62	n/a	
01102	09	A0434	229.89	3.25	1.294	$918.92	$927.93	"$1,137.64"	n/a	
01102	09	A0435	1.00	1.00	1.294	$8.07	$12.11	n/a	$12.11	
01102	09	A0436	1.00	1.00	1.294	$21.53	$32.30	n/a	$32.30	
01102	99	A0425	1.00	1.00	1.058	$6.87	$6.94	n/a	$10.41	
01102	99	A0426	229.89	1.20	1.058	$292.81	$295.68	$362.50	n/a	
01102	99	A0427	229.89	1.90	1.058	$463.62	$468.16	$573.96	n/a	
01102	99	A0428	229.89	1.00	1.058	$244.01	$246.40	$302.09	n/a	
Northern California (cont'd)										
01102	99	A0429	229.89	1.60	1.058	$390.41	$394.24	$483.34	n/a	
01102	99	A0430	1.00	1.00	1.058	"$2,927.65"	"$4,391.47"	n/a	"$4,391.47"	
01102	99	A0431	1.00	1.00	1.058	"$3,403.82"	"$5,105.73"	n/a	"$5,105.73"	
01102	99	A0432	229.89	1.75	1.058	$427.01	$431.20	n/a	n/a	
01102	99	A0433	229.89	2.75	1.058	$671.02	$677.60	$830.74	n/a	
01102	99	A0434	229.89	3.25	1.058	$793.03	$800.80	$981.78	n/a	
01102	99	A0435	1.00	1.00	1.058	$8.07	$12.11	n/a	$12.11	
01102	99	A0436	1.00	1.00	1.058	$21.53	$32.30	n/a	$32.30	
Southern California										
01192	17	A0425	1.00	1.00	1.265	$6.87	$6.94	n/a	$10.41	
01192	17	A0426	229.89	1.20	1.265	$333.58	$336.85	$412.98	n/a	
01192	17	A0427	229.89	1.90	1.265	$528.17	$533.35	$653.89	n/a	
01192	17	A0428	229.89	1.00	1.265	$277.99	$280.71	$344.15	n/a	
01192	17	A0429	229.89	1.60	1.265	$444.78	$449.14	$550.65	n/a	
01192	17	A0430	1.00	1.00	1.265	"$3,222.12"	"$4,833.18"	n/a	"$4,833.18"	
01192	17	A0431	1.00	1.00	1.265	"$3,746.19"	"$5,619.28"	n/a	"$5,619.28"	
01192	17	A0432	229.89	1.75	1.265	$486.47	$491.24	n/a	n/a	
01192	17	A0433	229.89	2.75	1.265	$764.46	$771.95	$946.41	n/a	
01192	17	A0434	229.89	3.25	1.265	$903.45	$912.31	"$1,118.49"	n/a	
01192	17	A0435	1.00	1.00	1.265	$8.07	$12.11	n/a	$12.11	
01192	17	A0436	1.00	1.00	1.265	$21.53	$32.30	n/a	$32.30	
01192	18	A0425	1.00	1.00	1.225	$6.87	$6.94	n/a	$10.41	
01192	18	A0426	229.89	1.20	1.225	$325.70	$328.90	$403.23	n/a	
01192	18	A0427	229.89	1.90	1.225	$515.70	$520.75	$638.44	n/a	
01192	18	A0428	229.89	1.00	1.225	$271.42	$274.08	$336.02	n/a	
01192	18	A0429	229.89	1.60	1.225	$434.27	$438.53	$537.64	n/a	
01192	18	A0430	1.00	1.00	1.225	"$3,165.22"	"$4,747.83"	n/a	"$4,747.83"	
01192	18	A0431	1.00	1.00	1.225	"$3,680.03"	"$5,520.04"	n/a	"$5,520.04"	
01192	18	A0432	229.89	1.75	1.225	$474.98	$479.64	n/a	n/a	
01192	18	A0433	229.89	2.75	1.225	$746.40	$753.72	$924.06	n/a	
01192	18	A0434	229.89	3.25	1.225	$882.11	$890.76	"$1,092.07"	n/a	
01192	18	A0435	1.00	1.00	1.225	$8.07	$12.11	n/a	$12.11	
01192	18	A0436	1.00	1.00	1.225	$21.53	$32.30	n/a	$32.30	
01192	26	A0425	1.00	1.00	1.269	$6.87	$6.94	n/a	$10.41	
01192	26	A0426	229.89	1.20	1.269	$334.37	$337.65	$413.96	n/a	
01192	26	A0427	229.89	1.90	1.269	$529.42	$534.61	$655.43	n/a	
01192	26	A0428	229.89	1.00	1.269	$278.64	$281.37	$344.96	n/a	
01192	26	A0429	229.89	1.60	1.269	$445.83	$450.20	$551.95	n/a	
01192	26	A0430	1.00	1.00	1.269	"$3,227.81"	"$4,841.72"	n/a	"$4,841.72"	
01192	26	A0431	1.00	1.00	1.269	"$3,752.80"	"$5,629.20"	n/a	"$5,629.20"	
01192	26	A0432	229.89	1.75	1.269	$487.62	$492.40	n/a	n/a	
Southern California (cont'd)										
01192	26	A0433	229.89	2.75	1.269	$766.27	$773.78	$948.65	n/a	
01192	26	A0434	229.89	3.25	1.269	$905.59	$914.46	"$1,121.13"	n/a	
01192	26	A0435	1.00	1.00	1.269	$8.07	$12.11	n/a	$12.11	
01192	26	A0436	1.00	1.00	1.269	$21.53	$32.30	n/a	$32.30	
01192	99	A0425	1.00	1.00	1.058	$6.87	$6.94	n/a	$10.41	
01192	99	A0426	229.89	1.20	1.058	$292.81	$295.68	$362.50	n/a	
01192	99	A0427	229.89	1.90	1.058	$463.62	$468.16	$573.96	n/a	
01192	99	A0428	229.89	1.00	1.058	$244.01	$246.40	$302.09	n/a	
01192	99	A0429	229.89	1.60	1.058	$390.41	$394.24	$483.34	n/a	
01192	99	A0430	1.00	1.00	1.058	"$2,927.65"	"$4,391.47"	n/a	"$4,391.47"	
01192	99	A0431	1.00	1.00	1.058	"$3,403.82"	"$5,105.73"	n/a	"$5,105.73"	
01192	99	A0432	229.89	1.75	1.058	$427.01	$431.20	n/a	n/a	
01192	99	A0433	229.89	2.75	1.058	$671.02	$677.60	$830.74	n/a	
01192	99	A0434	229.89	3.25	1.058	$793.03	$800.80	$981.78	n/a	
01192	99	A0435	1.00	1.00	1.058	$8.07	$12.11	n/a	$12.11	
01192	99	A0436	1.00	1.00	1.058	$21.53	$32.30	n/a	$32.30	
Hawaii/Guam										
01202	01	A0425	1.00	1.00	1.161	$6.87	$6.94	n/a	$10.41	
01202	01	A0426	229.89	1.20	1.161	$313.10	$316.17	$387.62	n/a	
01202	01	A0427	229.89	1.90	1.161	$495.74	$500.60	$613.74	n/a	
01202	01	A0428	229.89	1.00	1.161	$260.91	$263.47	$323.01	n/a	
01202	01	A0429	229.89	1.60	1.161	$417.46	$421.56	$516.83	n/a	
01202	01	A0430	1.00	1.00	1.161	"$3,074.17"	"$4,611.26"	n/a	"$4,611.26"	
01202	01	A0431	1.00	1.00	1.161	"$3,574.18"	"$5,361.26"	n/a	"$5,361.26"	
01202	01	A0432	229.89	1.75	1.161	$456.60	$461.08	n/a	n/a	
01202	01	A0433	229.89	2.75	1.161	$717.52	$724.55	$888.30	n/a	
01202	01	A0434	229.89	3.25	1.161	$847.97	$856.29	"$1,049.81"	n/a	
01202	01	A0435	1.00	1.00	1.161	$8.07	$12.11	n/a	$12.11	
01202	01	A0436	1.00	1.00	1.161	$21.53	$32.30	n/a	$32.30	
Nevada										
01302	00	A0425	1.00	1.00	1.026	$6.87	$6.94	n/a	$10.41	
01302	00	A0426	214.86	1.20	1.026	$267.78	$270.40	$331.51	n/a	
01302	00	A0427	214.86	1.90	1.026	$423.98	$428.13	$524.89	n/a	
01302	00	A0428	214.86	1.00	1.026	$223.15	$225.33	$276.25	n/a	
01302	00	A0429	214.86	1.60	1.026	$357.03	$360.53	$442.01	n/a	
01302	00	A0430	1.00	1.00	1.026	"$2,882.13"	"$4,323.19"	n/a	"$4,323.19"	
01302	00	A0431	1.00	1.00	1.026	"$3,350.89"	"$5,026.34"	n/a	"$5,026.34"	
01302	00	A0432	214.86	1.75	1.026	$390.51	$394.33	n/a	n/a	
01302	00	A0433	214.86	2.75	1.026	$613.65	$619.67	$759.72	n/a	
01302	00	A0434	214.86	3.25	1.026	$725.22	$732.33	$897.84	n/a	
01302	00	A0435	1.00	1.00	1.026	$8.07	$12.11	n/a	$12.11	
01302	00	A0436	1.00	1.00	1.026	$21.53	$32.30	n/a	$32.30	
Arizona										
03102	00	A0425	1.00	1.00	0.957	$6.87	$6.94	n/a	$10.41	
03102	00	A0426	214.86	1.20	0.957	$255.07	$257.57	$315.78	n/a	
03102	00	A0427	214.86	1.90	0.957	$403.87	$407.82	$499.99	n/a	
03102	00	A0428	214.86	1.00	0.957	$212.56	$214.64	$263.15	n/a	
03102	00	A0429	214.86	1.60	0.957	$340.10	$343.43	$421.05	n/a	
03102	00	A0430	1.00	1.00	0.957	"$2,783.97"	"$4,175.95"	n/a	"$4,175.95"	
03102	00	A0431	1.00	1.00	0.957	"$3,236.77"	"$4,855.16"	n/a	"$4,855.16"	
03102	00	A0432	214.86	1.75	0.957	$371.98	$375.63	n/a	n/a	
03102	00	A0433	214.86	2.75	0.957	$584.54	$590.27	$723.67	n/a	
03102	00	A0434	214.86	3.25	0.957	$690.82	$697.59	$855.25	n/a	
03102	00	A0435	1.00	1.00	0.957	$8.07	$12.11	n/a	$12.11	
03102	00	A0436	1.00	1.00	0.957	$21.53	$32.30	n/a	$32.30	
Montana										
03202	01	A0425	1.00	1.00	0.847	$6.87	$6.94	n/a	$10.41	
03202	01	A0426	214.86	1.20	0.847	$234.82	$237.12	$290.71	n/a	
03202	01	A0427	214.86	1.90	0.847	$371.80	$375.45	$460.30	n/a	
03202	01	A0428	214.86	1.00	0.847	$195.69	$197.60	$242.26	n/a	
03202	01	A0429	214.86	1.60	0.847	$313.10	$316.17	$387.62	n/a	
03202	01	A0430	1.00	1.00	0.847	"$2,627.49"	"$3,941.23"	n/a	"$3,941.23"	
03202	01	A0431	1.00	1.00	0.847	"$3,054.84"	"$4,582.25"	n/a	"$4,582.25"	
03202	01	A0432	214.86	1.75	0.847	$342.45	$345.81	n/a	n/a	
03202	01	A0433	214.86	2.75	0.847	$538.14	$543.41	$666.22	n/a	
03202	01	A0434	214.86	3.25	0.847	$635.98	$642.21	$787.35	n/a	
03202	01	A0435	1.00	1.00	0.847	$8.07	$12.11	n/a	$12.11	
03202	01	A0436	1.00	1.00	0.847	$21.53	$32.30	n/a	$32.30	
North Dakota										
03302	01	A0425	1.00	1.00	0.844	$6.87	$6.94	n/a	$10.41	
03302	01	A0426	209.65	1.20	0.844	$228.59	$230.83	$283.00	n/a	
03302	01	A0427	209.65	1.90	0.844	$361.93	$365.48	$448.08	n/a	
03302	01	A0428	209.65	1.00	0.844	$190.49	$192.36	$235.83	n/a	
03302	01	A0429	209.65	1.60	0.844	$304.79	$307.77	$377.33	n/a	
03302	01	A0430	1.00	1.00	0.844	"$2,623.22"	"$3,934.83"	n/a	"$3,934.83"	
03302	01	A0431	1.00	1.00	0.844	"$3,049.87"	"$4,574.81"	n/a	"$4,574.81"	
03302	01	A0432	209.65	1.75	0.844	$333.36	$336.63	n/a	n/a	
03302	01	A0433	209.65	2.75	0.844	$523.85	$528.99	$648.54	n/a	
03302	01	A0434	209.65	3.25	0.844	$619.10	$625.17	$766.46	n/a	
03302	01	A0435	1.00	1.00	0.844	$8.07	$12.11	n/a	$12.11	
03302	01	A0436	1.00	1.00	0.844	$21.53	$32.30	n/a	$32.30	
South Dakota										
03402	02	A0425	1.00	1.00	0.864	$6.87	$6.94	n/a	$10.41	
03402	02	A0426	209.65	1.20	0.864	$232.18	$234.46	$287.45	n/a	
03402	02	A0427	209.65	1.90	0.864	$367.62	$371.23	$455.13	n/a	
03402	02	A0428	209.65	1.00	0.864	$193.49	$195.38	$239.54	n/a	
03402	02	A0429	209.65	1.60	0.864	$309.58	$312.61	$383.26	n/a	
03402	02	A0430	1.00	1.00	0.864	"$2,651.67"	"$3,977.51"	n/a	"$3,977.51"	
03402	02	A0431	1.00	1.00	0.864	"$3,082.95"	"$4,624.43"	n/a	"$4,624.43"	
03402	02	A0432	209.65	1.75	0.864	$338.60	$341.92	n/a	n/a	
03402	02	A0433	209.65	2.75	0.864	$532.08	$537.30	$658.73	n/a	
03402	02	A0434	209.65	3.25	0.864	$628.83	$634.99	$778.50	n/a	
03402	02	A0435	1.00	1.00	0.864	$8.07	$12.11	n/a	$12.11	
03402	02	A0436	1.00	1.00	0.864	$21.53	$32.30	n/a	$32.30	
Utah										
03502	09	A0425	1.00	1.00	0.907	$6.87	$6.94	n/a	$10.41	
03502	09	A0426	214.86	1.20	0.907	$245.87	$248.28	$304.39	n/a	
03502	09	A0427	214.86	1.90	0.907	$389.29	$393.11	$481.95	n/a	
03502	09	A0428	214.86	1.00	0.907	$204.89	$206.90	$253.66	n/a	
03502	09	A0429	214.86	1.60	0.907	$327.82	$331.04	$405.86	n/a	
03502	09	A0430	1.00	1.00	0.907	"$2,712.84"	"$4,069.26"	n/a	"$4,069.26"	
03502	09	A0431	1.00	1.00	0.907	"$3,154.07"	"$4,731.11"	n/a	"$4,731.11"	
03502	09	A0432	214.86	1.75	0.907	$358.56	$362.07	n/a	n/a	
03502	09	A0433	214.86	2.75	0.907	$563.45	$568.97	$697.56	n/a	
03502	09	A0434	214.86	3.25	0.907	$665.89	$672.42	$824.39	n/a	
03502	09	A0435	1.00	1.00	0.907	$8.07	$12.11	n/a	$12.11	
03502	09	A0436	1.00	1.00	0.907	$21.53	$32.30	n/a	$32.30	
Wyoming										
03602	21	A0425	1.00	1.00	0.842	$6.87	$6.94	n/a	$10.41	
03602	21	A0426	214.86	1.20	0.842	$233.90	$236.20	$289.58	n/a	
03602	21	A0427	214.86	1.90	0.842	$370.34	$373.98	$458.50	n/a	
03602	21	A0428	214.86	1.00	0.842	$194.92	$196.83	$241.31	n/a	
03602	21	A0429	214.86	1.60	0.842	$311.87	$314.93	$386.10	n/a	
03602	21	A0430	1.00	1.00	0.842	"$2,620.37"	"$3,930.56"	n/a	"$3,930.56"	
03602	21	A0431	1.00	1.00	0.842	"$3,046.57"	"$4,569.85"	n/a	"$4,569.85"	
03602	21	A0432	214.86	1.75	0.842	$341.11	$344.45	n/a	n/a	
03602	21	A0433	214.86	2.75	0.842	$536.03	$541.28	$663.61	n/a	
03602	21	A0434	214.86	3.25	0.842	$633.48	$639.70	$784.27	n/a	
03602	21	A0435	1.00	1.00	0.842	$8.07	$12.11	n/a	$12.11	
03602	21	A0436	1.00	1.00	0.842	$21.53	$32.30	n/a	$32.30	
Colorado										
04102	01	A0425	1.00	1.00	0.992	$6.87	$6.94	n/a	$10.41	
04102	01	A0426	214.86	1.20	0.992	$261.52	$264.08	$323.76	n/a	
04102	01	A0427	214.86	1.90	0.992	$414.07	$418.13	$512.63	n/a	
04102	01	A0428	214.86	1.00	0.992	$217.93	$220.07	$269.81	n/a	
04102	01	A0429	214.86	1.60	0.992	$348.69	$352.11	$431.69	n/a	
04102	01	A0430	1.00	1.00	0.992	"$2,833.76"	"$4,250.64"	n/a	"$4,250.64"	
04102	01	A0431	1.00	1.00	0.992	"$3,294.66"	"$4,941.99"	n/a	"$4,941.99"	
04102	01	A0432	214.86	1.75	0.992	$381.38	$385.12	n/a	n/a	
04102	01	A0433	214.86	2.75	0.992	$599.31	$605.18	$741.95	n/a	
04102	01	A0434	214.86	3.25	0.992	$708.27	$715.22	$876.86	n/a	
04102	01	A0435	1.00	1.00	0.992	$8.07	$12.11	n/a	$12.11	
04102	01	A0436	1.00	1.00	0.992	$21.53	$32.30	n/a	$32.30	
New Mexico										
04202	05	A0425	1.00	1.00	0.890	$6.87	$6.94	n/a	$10.41	
04202	05	A0426	214.86	1.20	0.890	$242.74	$245.12	$300.52	n/a	
04202	05	A0427	214.86	1.90	0.890	$384.34	$388.10	$475.81	n/a	
04202	05	A0428	214.86	1.00	0.890	$202.28	$204.27	$250.44	n/a	
04202	05	A0429	214.86	1.60	0.890	$323.65	$326.82	$400.68	n/a	
04202	05	A0430	1.00	1.00	0.890	"$2,688.66"	"$4,032.99"	n/a	"$4,032.99"	
04202	05	A0431	1.00	1.00	0.890	"$3,125.96"	"$4,688.93"	n/a	"$4,688.93"	
04202	05	A0432	214.86	1.75	0.890	$353.99	$357.46	n/a	n/a	
04202	05	A0433	214.86	2.75	0.890	$556.28	$561.73	$688.68	n/a	
04202	05	A0434	214.86	3.25	0.890	$657.42	$663.86	$813.89	n/a	
04202	05	A0435	1.00	1.00	0.890	$8.07	$12.11	n/a	$12.11	
04202	05	A0436	1.00	1.00	0.890	$21.53	$32.30	n/a	$32.30	
Oklahoma										
04302	00	A0425	1.00	1.00	0.850	$6.87	$6.94	n/a	$10.41	
04302	00	A0426	215.01	1.20	0.850	$235.54	$237.85	$291.60	n/a	
04302	00	A0427	215.01	1.90	0.850	$372.94	$376.59	$461.70	n/a	
04302	00	A0428	215.01	1.00	0.850	$196.28	$198.21	$243.01	n/a	
04302	00	A0429	215.01	1.60	0.850	$314.05	$317.13	$388.80	n/a	
04302	00	A0430	1.00	1.00	0.850	"$2,631.75"	"$3,947.63"	n/a	"$3,947.63"	
04302	00	A0431	1.00	1.00	0.850	"$3,059.80"	"$4,589.70"	n/a	"$4,589.70"	
04302	00	A0432	215.01	1.75	0.850	$343.49	$346.86	n/a	n/a	
04302	00	A0433	215.01	2.75	0.850	$539.78	$545.07	$668.26	n/a	
04302	00	A0434	215.01	3.25	0.850	$637.92	$644.17	$789.75	n/a	
04302	00	A0435	1.00	1.00	0.850	$8.07	$12.11	n/a	$12.11	
04302	00	A0436	1.00	1.00	0.850	$21.53	$32.30	n/a	$32.30	
Texas										
04402	09	A0425	1.00	1.00	0.922	$6.87	$6.94	n/a	$10.41	
04402	09	A0426	215.01	1.20	0.922	$248.80	$251.24	$308.02	n/a	
04402	09	A0427	215.01	1.90	0.922	$393.94	$397.80	$487.70	n/a	
04402	09	A0428	215.01	1.00	0.922	$207.34	$209.37	$256.69	n/a	
04402	09	A0429	215.01	1.60	0.922	$331.74	$334.99	$410.70	n/a	
04402	09	A0430	1.00	1.00	0.922	"$2,734.18"	"$4,101.27"	n/a	"$4,101.27"	
04402	09	A0431	1.00	1.00	0.922	"$3,178.88"	"$4,768.32"	n/a	"$4,768.32"	
04402	09	A0432	215.01	1.75	0.922	$362.84	$366.39	n/a	n/a	
04402	09	A0433	215.01	2.75	0.922	$570.17	$575.76	$705.88	n/a	
04402	09	A0434	215.01	3.25	0.922	$673.84	$680.45	$834.23	n/a	
04402	09	A0435	1.00	1.00	0.922	$8.07	$12.11	n/a	$12.11	
04402	09	A0436	1.00	1.00	0.922	$21.53	$32.30	n/a	$32.30	
04402	11	A0425	1.00	1.00	1.001	$6.87	$6.94	n/a	$10.41	
04402	11	A0426	215.01	1.20	1.001	$263.36	$265.94	$326.04	n/a	
04402	11	A0427	215.01	1.90	1.001	$416.98	$421.07	$516.23	n/a	
04402	11	A0428	215.01	1.00	1.001	$219.46	$221.62	$271.71	n/a	
04402	11	A0429	215.01	1.60	1.001	$351.14	$354.58	$434.72	n/a	
04402	11	A0430	1.00	1.00	1.001	"$2,846.56"	"$4,269.84"	n/a	"$4,269.84"	
04402	11	A0431	1.00	1.00	1.001	"$3,309.54"	"$4,964.32"	n/a	"$4,964.32"	
04402	11	A0432	215.01	1.75	1.001	$384.06	$387.83	n/a	n/a	
04402	11	A0433	215.01	2.75	1.001	$603.53	$609.44	$747.17	n/a	
04402	11	A0434	215.01	3.25	1.001	$713.26	$720.25	$883.03	n/a	
04402	11	A0435	1.00	1.00	1.001	$8.07	$12.11	n/a	$12.11	
04402	11	A0436	1.00	1.00	1.001	$21.53	$32.30	n/a	$32.30	
04402	15	A0425	1.00	1.00	0.959	$6.87	$6.94	n/a	$10.41	
04402	15	A0426	215.01	1.20	0.959	$255.62	$258.13	$316.47	n/a	
04402	15	A0427	215.01	1.90	0.959	$404.73	$408.70	$501.07	n/a	
04402	15	A0428	215.01	1.00	0.959	$213.02	$215.10	$263.71	n/a	
04402	15	A0429	215.01	1.60	0.959	$340.83	$344.17	$421.95	n/a	
04402	15	A0430	1.00	1.00	0.959	"$2,786.81"	"$4,180.22"	n/a	"$4,180.22"	
04402	15	A0431	1.00	1.00	0.959	"$3,240.08"	"$4,860.12"	n/a	"$4,860.12"	
04402	15	A0432	215.01	1.75	0.959	$372.78	$376.43	n/a	n/a	
Texas (cont'd)										
04402	15	A0433	215.01	2.75	0.959	$585.79	$591.54	$725.23	n/a	
04402	15	A0434	215.01	3.25	0.959	$692.30	$699.09	$857.08	n/a	
04402	15	A0435	1.00	1.00	0.959	$8.07	$12.11	n/a	$12.11	
04402	15	A0436	1.00	1.00	0.959	$21.53	$32.30	n/a	$32.30	
04402	18	A0425	1.00	1.00	0.986	$6.87	$6.94	n/a	$10.41	
04402	18	A0426	215.01	1.20	0.986	$260.59	$263.15	$322.62	n/a	
04402	18	A0427	215.01	1.90	0.986	$412.61	$416.65	$510.81	n/a	
04402	18	A0428	215.01	1.00	0.986	$217.16	$219.29	$268.85	n/a	
04402	18	A0429	215.01	1.60	0.986	$347.46	$350.86	$430.15	n/a	
