(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) CONV FAC	(5) RVU	(6) GPCI	(7) BASE RATE & URBAN MILEAGE	(7)(a) RURAL BASE RATE & RURAL MILEAGE	(7)(b) RURAL BASE RATE - LOWEST QUARTILE*	(8) RURAL BASE/MILES 1-17*	
00524	01	A0434	221.88	3.25	1.088	$780.84	$788.50	$966.70	n/a	
00524	01	A0435	1.00	1.00	1.088	$8.07	$12.11	n/a	$12.11	
00524	01	A0436	1.00	1.00	1.088	$21.53	$32.30	n/a	$32.30	
Louisiana										
00528	01	A0425	1.00	1.00	1.044	$6.87	$6.94	n/a	$10.41	
00528	01	A0426	215.01	1.20	1.044	$271.28	$273.94	$335.85	n/a	
00528	01	A0427	215.01	1.90	1.044	$429.52	$433.73	$531.75	n/a	
00528	01	A0428	215.01	1.00	1.044	$226.06	$228.28	$279.87	n/a	
00528	01	A0429	215.01	1.60	1.044	$361.70	$365.25	$447.80	n/a	
00528	01	A0430	1.00	1.00	1.044	"$2,907.73"	"$4,361.60"	n/a	"$4,361.60"	
00528	01	A0431	1.00	1.00	1.044	"$3,380.66"	"$5,071.00"	n/a	"$5,071.00"	
00528	01	A0432	215.01	1.75	1.044	$395.61	$399.49	n/a	n/a	
00528	01	A0433	215.01	2.75	1.044	$621.68	$627.77	$769.65	n/a	
00528	01	A0434	215.01	3.25	1.044	$734.71	$741.91	$909.58	n/a	
00528	01	A0435	1.00	1.00	1.044	$8.07	$12.11	n/a	$12.11	
00528	01	A0436	1.00	1.00	1.044	$21.53	$32.30	n/a	$32.30	
00528	99	A0425	1.00	1.00	0.878	$6.87	$6.94	n/a	$10.41	
00528	99	A0426	215.01	1.20	0.878	$240.70	$243.06	$297.99	n/a	
00528	99	A0427	215.01	1.90	0.878	$381.10	$384.84	$471.81	n/a	
00528	99	A0428	215.01	1.00	0.878	$200.58	$202.55	$248.33	n/a	
00528	99	A0429	215.01	1.60	0.878	$320.93	$324.08	$397.32	n/a	
00528	99	A0430	1.00	1.00	0.878	"$2,671.59"	"$4,007.38"	n/a	"$4,007.38"	
00528	99	A0431	1.00	1.00	0.878	"$3,106.11"	"$4,659.16"	n/a	"$4,659.16"	
00528	99	A0432	215.01	1.75	0.878	$351.02	$354.46	n/a	n/a	
00528	99	A0433	215.01	2.75	0.878	$551.60	$557.01	$682.89	n/a	
00528	99	A0434	215.01	3.25	0.878	$651.89	$658.28	$807.05	n/a	
00528	99	A0435	1.00	1.00	0.878	$8.07	$12.11	n/a	$12.11	
00528	99	A0436	1.00	1.00	0.878	$21.53	$32.30	n/a	$32.30	
Indiana										
00630	00	A0425	1.00	1.00	0.918	$6.87	$6.94	n/a	$10.41	
00630	00	A0426	209.65	1.20	0.918	$241.88	$244.25	$299.45	n/a	
00630	00	A0427	209.65	1.90	0.918	$382.98	$386.73	$474.13	n/a	
00630	00	A0428	209.65	1.00	0.918	$201.57	$203.54	$249.54	n/a	
00630	00	A0429	209.65	1.60	0.918	$322.51	$325.67	$399.27	n/a	
00630	00	A0430	1.00	1.00	0.918	"$2,728.49"	"$4,092.73"	n/a	"$4,092.73"	
00630	00	A0431	1.00	1.00	0.918	"$3,172.27"	"$4,758.40"	n/a	"$4,758.40"	
00630	00	A0432	209.65	1.75	0.918	$352.74	$356.20	n/a	n/a	
00630	00	A0433	209.65	2.75	0.918	$554.31	$559.75	$686.25	n/a	
00630	00	A0434	209.65	3.25	0.918	$655.10	$661.52	$811.02	n/a	
00630	00	A0435	1.00	1.00	0.918	$8.07	$12.11	n/a	$12.11	
00630	00	A0436	1.00	1.00	0.918	$21.53	$32.30	n/a	$32.30	
Kentucky										
00660	00	A0425	1.00	1.00	0.860	$6.87	$6.94	n/a	$10.41	
00660	00	A0426	209.65	1.20	0.860	$231.46	$233.73	$286.55	n/a	
00660	00	A0427	209.65	1.90	0.860	$366.48	$370.08	$453.72	n/a	
00660	00	A0428	209.65	1.00	0.860	$192.89	$194.78	$238.80	n/a	
00660	00	A0429	209.65	1.60	0.860	$308.62	$311.64	$382.07	n/a	
00660	00	A0430	1.00	1.00	0.860	"$2,645.98"	"$3,968.97"	n/a	"$3,968.97"	
00660	00	A0431	1.00	1.00	0.860	"$3,076.34"	"$4,614.51"	n/a	"$4,614.51"	
00660	00	A0432	209.65	1.75	0.860	$337.55	$340.86	n/a	n/a	
00660	00	A0433	209.65	2.75	0.860	$530.44	$535.64	$656.69	n/a	
00660	00	A0434	209.65	3.25	0.860	$626.88	$633.03	$776.09	n/a	
00660	00	A0435	1.00	1.00	0.860	$8.07	$12.11	n/a	$12.11	
00660	00	A0436	1.00	1.00	0.860	$21.53	$32.30	n/a	$32.30	
Alaska										
00831	01	A0425	1.00	1.00	1.090	$6.87	$6.94	n/a	$10.41	
