CONTRACTOR/CARRIER	LOCALITY	HCPCS	RVU	GPCI	BASE RATE	URBAN BASE RATE / URBAN MILEAGE	RURAL BASE RATE / RURAL MILEAGE	RURAL BASE RATE / LOWEST QUARTILE	RURAL GROUND MILES 1-17*
01112	05	A0425	1.00	1.325	$7.40	$7.55	$7.62	n/a	$11.43
01112	05	A0426	1.20	1.325	$229.91	$345.43	$348.82	$427.65	n/a
01112	05	A0427	1.90	1.325	$229.91	$546.93	$552.29	$677.11	n/a
01112	05	A0428	1.00	1.325	$229.91	$287.86	$290.68	$356.37	n/a
01112	05	A0429	1.60	1.325	$229.91	$460.57	$465.09	$570.20	n/a
01112	05	A0430	1.00	1.325	"$3,119.83"	"$3,626.80"	"$5,440.20"	n/a	"$5,440.20"
01112	05	A0431	1.00	1.325	"$3,627.27"	"$4,216.70"	"$6,325.05"	n/a	"$6,325.05"
01112	05	A0432	1.75	1.325	$229.91	$503.75	$508.69	n/a	n/a
01112	05	A0433	2.75	1.325	$229.91	$791.61	$799.37	$980.03	n/a
01112	05	A0434	3.25	1.325	$229.91	$935.54	$944.71	"$1,158.21"	n/a
01112	05	A0435	1.00	1.325	$8.85	$8.85	$13.28	n/a	$13.28
01112	05	A0436	1.00	1.325	$23.62	$23.62	$35.43	n/a	$35.43
01112	06	A0425	1.00	1.325	$7.40	$7.55	$7.62	n/a	$11.43
01112	06	A0426	1.20	1.325	$229.91	$345.43	$348.82	$427.65	n/a
01112	06	A0427	1.90	1.325	$229.91	$546.93	$552.29	$677.11	n/a
01112	06	A0428	1.00	1.325	$229.91	$287.86	$290.68	$356.37	n/a
01112	06	A0429	1.60	1.325	$229.91	$460.57	$465.09	$570.20	n/a
01112	06	A0430	1.00	1.325	"$3,119.83"	"$3,626.80"	"$5,440.20"	n/a	"$5,440.20"
01112	06	A0431	1.00	1.325	"$3,627.27"	"$4,216.70"	"$6,325.05"	n/a	"$6,325.05"
01112	06	A0432	1.75	1.325	$229.91	$503.75	$508.69	n/a	n/a
01112	06	A0433	2.75	1.325	$229.91	$791.61	$799.37	$980.03	n/a
01112	06	A0434	3.25	1.325	$229.91	$935.54	$944.71	"$1,158.21"	n/a
01112	06	A0435	1.00	1.325	$8.85	$8.85	$13.28	n/a	$13.28
01112	06	A0436	1.00	1.325	$23.62	$23.62	$35.43	n/a	$35.43
01112	07	A0425	1.00	1.325	$7.40	$7.55	$7.62	n/a	$11.43
01112	07	A0426	1.20	1.325	$229.91	$345.43	$348.82	$427.65	n/a
01112	07	A0427	1.90	1.325	$229.91	$546.93	$552.29	$677.11	n/a
01112	07	A0428	1.00	1.325	$229.91	$287.86	$290.68	$356.37	n/a
01112	07	A0429	1.60	1.325	$229.91	$460.57	$465.09	$570.20	n/a
01112	07	A0430	1.00	1.325	"$3,119.83"	"$3,626.80"	"$5,440.20"	n/a	"$5,440.20"
01112	07	A0431	1.00	1.325	"$3,627.27"	"$4,216.70"	"$6,325.05"	n/a	"$6,325.05"
01112	07	A0432	1.75	1.325	$229.91	$503.75	$508.69	n/a	n/a
01112	07	A0433	2.75	1.325	$229.91	$791.61	$799.37	$980.03	n/a
01112	07	A0434	3.25	1.325	$229.91	$935.54	$944.71	"$1,158.21"	n/a
01112	07	A0435	1.00	1.325	$8.85	$8.85	$13.28	n/a	$13.28
01112	07	A0436	1.00	1.325	$23.62	$23.62	$35.43	n/a	$35.43
01112	09	A0425	1.00	1.354	$7.40	$7.55	$7.62	n/a	$11.43
01112	09	A0426	1.20	1.354	$229.91	$351.14	$354.59	$434.73	n/a
01112	09	A0427	1.90	1.354	$229.91	$555.98	$561.43	$688.31	n/a
01112	09	A0428	1.00	1.354	$229.91	$292.62	$295.49	$362.27	n/a
01112	09	A0429	1.60	1.354	$229.91	$468.19	$472.78	$579.63	n/a
01112	09	A0430	1.00	1.354	"$3,119.83"	"$3,672.04"	"$5,508.06"	n/a	"$5,508.06"
01112	09	A0431	1.00	1.354	"$3,627.27"	"$4,269.30"	"$6,403.95"	n/a	"$6,403.95"
01112	09	A0432	1.75	1.354	$229.91	$512.08	$517.10	n/a	n/a
01112	09	A0433	2.75	1.354	$229.91	$804.70	$812.59	$996.24	n/a
01112	09	A0434	3.25	1.354	$229.91	$951.01	$960.34	"$1,177.38"	n/a
01112	09	A0435	1.00	1.354	$8.85	$8.85	$13.28	n/a	$13.28
01112	09	A0436	1.00	1.354	$23.62	$23.62	$35.43	n/a	$35.43
01112	51	A0425	1.00	1.256	$7.40	$7.55	$7.62	n/a	$11.43
01112	51	A0426	1.20	1.256	$229.91	$331.84	$335.09	$410.82	n/a
01112	51	A0427	1.90	1.256	$229.91	$525.41	$530.56	$650.47	n/a
01112	51	A0428	1.00	1.256	$229.91	$276.53	$279.24	$342.35	n/a
01112	51	A0429	1.60	1.256	$229.91	$442.45	$446.79	$547.76	n/a
01112	51	A0430	1.00	1.256	"$3,119.83"	"$3,519.17"	"$5,278.75"	n/a	"$5,278.75"
01112	51	A0431	1.00	1.256	"$3,627.27"	"$4,091.56"	"$6,137.34"	n/a	"$6,137.34"
01112	51	A0432	1.75	1.256	$229.91	$483.93	$488.68	n/a	n/a
01112	51	A0433	2.75	1.256	$229.91	$760.46	$767.92	$941.47	n/a
01112	51	A0434	3.25	1.256	$229.91	$898.73	$907.54	"$1,112.64"	n/a
01112	51	A0435	1.00	1.256	$8.85	$8.85	$13.28	n/a	$13.28
01112	51	A0436	1.00	1.256	$23.62	$23.62	$35.43	n/a	$35.43
01112	52	A0425	1.00	1.291	$7.40	$7.55	$7.62	n/a	$11.43
01112	52	A0426	1.20	1.291	$229.91	$338.73	$342.05	$419.35	n/a
01112	52	A0427	1.90	1.291	$229.91	$536.33	$541.59	$663.99	n/a
01112	52	A0428	1.00	1.291	$229.91	$282.28	$285.04	$349.46	n/a
01112	52	A0429	1.60	1.291	$229.91	$451.64	$456.07	$559.14	n/a
01112	52	A0430	1.00	1.291	"$3,119.83"	"$3,573.77"	"$5,360.65"	n/a	"$5,360.65"
01112	52	A0431	1.00	1.291	"$3,627.27"	"$4,155.04"	"$6,232.56"	n/a	"$6,232.56"
01112	52	A0432	1.75	1.291	$229.91	$493.99	$498.83	n/a	n/a
01112	52	A0433	2.75	1.291	$229.91	$776.26	$783.87	$961.02	n/a
01112	52	A0434	3.25	1.291	$229.91	$917.40	$926.40	"$1,135.77"	n/a
01112	52	A0435	1.00	1.291	$8.85	$8.85	$13.28	n/a	$13.28
01112	52	A0436	1.00	1.291	$23.62	$23.62	$35.43	n/a	$35.43
01112	53	A0425	1.00	1.256	$7.40	$7.55	$7.62	n/a	$11.43
01112	53	A0426	1.20	1.256	$229.91	$331.84	$335.09	$410.82	n/a
01112	53	A0427	1.90	1.256	$229.91	$525.41	$530.56	$650.47	n/a
01112	53	A0428	1.00	1.256	$229.91	$276.53	$279.24	$342.35	n/a
01112	53	A0429	1.60	1.256	$229.91	$442.45	$446.79	$547.76	n/a
01112	53	A0430	1.00	1.256	"$3,119.83"	"$3,519.17"	"$5,278.75"	n/a	"$5,278.75"
01112	53	A0431	1.00	1.256	"$3,627.27"	"$4,091.56"	"$6,137.34"	n/a	"$6,137.34"
01112	53	A0432	1.75	1.256	$229.91	$483.93	$488.68	n/a	n/a
01112	53	A0433	2.75	1.256	$229.91	$760.46	$767.92	$941.47	n/a
01112	53	A0434	3.25	1.256	$229.91	$898.73	$907.54	"$1,112.64"	n/a
01112	53	A0435	1.00	1.256	$8.85	$8.85	$13.28	n/a	$13.28
01112	53	A0436	1.00	1.256	$23.62	$23.62	$35.43	n/a	$35.43
01112	54	A0425	1.00	1.074	$7.40	$7.55	$7.62	n/a	$11.43
01112	54	A0426	1.20	1.074	$229.91	$295.99	$298.89	$366.44	n/a
01112	54	A0427	1.90	1.074	$229.91	$468.65	$473.24	$580.19	n/a
01112	54	A0428	1.00	1.074	$229.91	$246.66	$249.07	$305.36	n/a
01112	54	A0429	1.60	1.074	$229.91	$394.65	$398.52	$488.59	n/a
01112	54	A0430	1.00	1.074	"$3,119.83"	"$3,235.26"	"$4,852.90"	n/a	"$4,852.90"
01112	54	A0431	1.00	1.074	"$3,627.27"	"$3,761.48"	"$5,642.22"	n/a	"$5,642.22"
01112	54	A0432	1.75	1.074	$229.91	$431.65	$435.88	n/a	n/a
01112	54	A0433	2.75	1.074	$229.91	$678.30	$684.95	$839.75	n/a
01112	54	A0434	3.25	1.074	$229.91	$801.63	$809.49	$992.43	n/a
01112	54	A0435	1.00	1.074	$8.85	$8.85	$13.28	n/a	$13.28
01112	54	A0436	1.00	1.074	$23.62	$23.62	$35.43	n/a	$35.43
01112	55	A0425	1.00	1.074	$7.40	$7.55	$7.62	n/a	$11.43
01112	55	A0426	1.20	1.074	$229.91	$295.99	$298.89	$366.44	n/a
01112	55	A0427	1.90	1.074	$229.91	$468.65	$473.24	$580.19	n/a
01112	55	A0428	1.00	1.074	$229.91	$246.66	$249.07	$305.36	n/a
01112	55	A0429	1.60	1.074	$229.91	$394.65	$398.52	$488.59	n/a
01112	55	A0430	1.00	1.074	"$3,119.83"	"$3,235.26"	"$4,852.90"	n/a	"$4,852.90"
01112	55	A0431	1.00	1.074	"$3,627.27"	"$3,761.48"	"$5,642.22"	n/a	"$5,642.22"
01112	55	A0432	1.75	1.074	$229.91	$431.65	$435.88	n/a	n/a
01112	55	A0433	2.75	1.074	$229.91	$678.30	$684.95	$839.75	n/a
01112	55	A0434	3.25	1.074	$229.91	$801.63	$809.49	$992.43	n/a
01112	55	A0435	1.00	1.074	$8.85	$8.85	$13.28	n/a	$13.28
01112	55	A0436	1.00	1.074	$23.62	$23.62	$35.43	n/a	$35.43
01112	56	A0425	1.00	1.074	$7.40	$7.55	$7.62	n/a	$11.43
01112	56	A0426	1.20	1.074	$229.91	$295.99	$298.89	$366.44	n/a
01112	56	A0427	1.90	1.074	$229.91	$468.65	$473.24	$580.19	n/a
01112	56	A0428	1.00	1.074	$229.91	$246.66	$249.07	$305.36	n/a
01112	56	A0429	1.60	1.074	$229.91	$394.65	$398.52	$488.59	n/a
01112	56	A0430	1.00	1.074	"$3,119.83"	"$3,235.26"	"$4,852.90"	n/a	"$4,852.90"
01112	56	A0431	1.00	1.074	"$3,627.27"	"$3,761.48"	"$5,642.22"	n/a	"$5,642.22"
01112	56	A0432	1.75	1.074	$229.91	$431.65	$435.88	n/a	n/a
01112	56	A0433	2.75	1.074	$229.91	$678.30	$684.95	$839.75	n/a
01112	56	A0434	3.25	1.074	$229.91	$801.63	$809.49	$992.43	n/a
01112	56	A0435	1.00	1.074	$8.85	$8.85	$13.28	n/a	$13.28
01112	56	A0436	1.00	1.074	$23.62	$23.62	$35.43	n/a	$35.43
01112	57	A0425	1.00	1.074	$7.40	$7.55	$7.62	n/a	$11.43
01112	57	A0426	1.20	1.074	$229.91	$295.99	$298.89	$366.44	n/a
01112	57	A0427	1.90	1.074	$229.91	$468.65	$473.24	$580.19	n/a
01112	57	A0428	1.00	1.074	$229.91	$246.66	$249.07	$305.36	n/a
01112	57	A0429	1.60	1.074	$229.91	$394.65	$398.52	$488.59	n/a
01112	57	A0430	1.00	1.074	"$3,119.83"	"$3,235.26"	"$4,852.90"	n/a	"$4,852.90"
01112	57	A0431	1.00	1.074	"$3,627.27"	"$3,761.48"	"$5,642.22"	n/a	"$5,642.22"
01112	57	A0432	1.75	1.074	$229.91	$431.65	$435.88	n/a	n/a
01112	57	A0433	2.75	1.074	$229.91	$678.30	$684.95	$839.75	n/a
01112	57	A0434	3.25	1.074	$229.91	$801.63	$809.49	$992.43	n/a
01112	57	A0435	1.00	1.074	$8.85	$8.85	$13.28	n/a	$13.28
01112	57	A0436	1.00	1.074	$23.62	$23.62	$35.43	n/a	$35.43
01112	58	A0425	1.00	1.074	$7.40	$7.55	$7.62	n/a	$11.43
01112	58	A0426	1.20	1.074	$229.91	$295.99	$298.89	$366.44	n/a
01112	58	A0427	1.90	1.074	$229.91	$468.65	$473.24	$580.19	n/a
