(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*	
Mississippi										
01102	03	A0435	8.06	1.00	1.272	$8.06	$12.09	n/a	$12.09	
01102	03	A0436	21.51	1.00	1.272	$21.51	$32.27	n/a	$32.27	
01102	05	A0425	6.73	1.00	1.422	$6.86	$6.93	n/a	$10.40	
01102	05	A0426	209.44	1.20	1.422	$332.08	$335.34	$411.12	n/a	
01102	05	A0427	209.44	1.90	1.422	$525.80	$530.95	$650.95	n/a	
01102	05	A0428	209.44	1.00	1.422	$276.73	$279.45	$342.60	n/a	
01102	05	A0429	209.44	1.60	1.422	$442.78	$447.12	$548.16	n/a	
01102	05	A0430	2842.29	1.00	1.422	"$3,442.01"	"$5,163.02"	n/a	"$5,163.02"	
01102	05	A0431	3304.58	1.00	1.422	"$4,001.85"	"$6,002.77"	n/a	"$6,002.77"	
01102	05	A0432	209.44	1.75	1.422	$484.29	$489.03	n/a	n/a	
01102	05	A0433	209.44	2.75	1.422	$761.02	$768.48	$942.16	n/a	
01102	05	A0434	209.44	3.25	1.422	$899.39	$908.21	"$1,113.46"	n/a	
01102	05	A0435	8.06	1.00	1.422	$8.06	$12.09	n/a	$12.09	
01102	05	A0436	21.51	1.00	1.422	$21.51	$32.27	n/a	$32.27	
01102	06	A0425	6.73	1.00	1.418	$6.86	$6.93	n/a	$10.40	
01102	06	A0426	209.44	1.20	1.418	$331.36	$334.61	$410.24	n/a	
01102	06	A0427	209.44	1.90	1.418	$524.66	$529.80	$649.54	n/a	
01102	06	A0428	209.44	1.00	1.418	$276.14	$278.84	$341.86	n/a	
01102	06	A0429	209.44	1.60	1.418	$441.82	$446.15	$546.98	n/a	
01102	06	A0430	2842.29	1.00	1.418	"$3,436.33"	"$5,154.49"	n/a	"$5,154.49"	
01102	06	A0431	3304.58	1.00	1.418	"$3,995.24"	"$5,992.86"	n/a	"$5,992.86"	
01102	06	A0432	209.44	1.75	1.418	$483.24	$487.98	n/a	n/a	
Northern California (cont'd)										
01102	06	A0433	209.44	2.75	1.418	$759.38	$766.82	$940.12	n/a	
01102	06	A0434	209.44	3.25	1.418	$897.44	$906.24	"$1,111.05"	n/a	
01102	06	A0435	8.06	1.00	1.418	$8.06	$12.09	n/a	$12.09	
01102	06	A0436	21.51	1.00	1.418	$21.51	$32.27	n/a	$32.27	
01102	07	A0425	6.73	1.00	1.286	$6.86	$6.93	n/a	$10.40	
01102	07	A0426	209.44	1.20	1.286	$307.68	$310.69	$380.91	n/a	
01102	07	A0427	209.44	1.90	1.286	$487.15	$491.93	$603.11	n/a	
01102	07	A0428	209.44	1.00	1.286	$256.40	$258.91	$317.42	n/a	
01102	07	A0429	209.44	1.60	1.286	$410.24	$414.26	$507.88	n/a	
01102	07	A0430	2842.29	1.00	1.286	"$3,248.74"	"$4,873.11"	n/a	"$4,873.11"	
01102	07	A0431	3304.58	1.00	1.286	"$3,777.13"	"$5,665.70"	n/a	"$5,665.70"	
01102	07	A0432	209.44	1.75	1.286	$448.70	$453.09	n/a	n/a	
01102	07	A0433	209.44	2.75	1.286	$705.09	$712.01	$872.92	n/a	
01102	07	A0434	209.44	3.25	1.286	$833.29	$841.46	"$1,031.63"	n/a	
01102	07	A0435	8.06	1.00	1.286	$8.06	$12.09	n/a	$12.09	
01102	07	A0436	21.51	1.00	1.286	$21.51	$32.27	n/a	$32.27	
01102	09	A0425	6.73	1.00	1.310	$6.86	$6.93	n/a	$10.40	
01102	09	A0426	209.44	1.20	1.310	$311.98	$315.04	$386.24	n/a	
01102	09	A0427	209.44	1.90	1.310	$493.97	$498.82	$611.55	n/a	
01102	09	A0428	209.44	1.00	1.310	$259.99	$262.54	$321.87	n/a	
01102	09	A0429	209.44	1.60	1.310	$415.98	$420.06	$514.99	n/a	
01102	09	A0430	2842.29	1.00	1.310	"$3,282.84"	"$4,924.27"	n/a	"$4,924.27"	
01102	09	A0431	3304.58	1.00	1.310	"$3,816.79"	"$5,725.18"	n/a	"$5,725.18"	
01102	09	A0432	209.44	1.75	1.310	$454.98	$459.44	n/a	n/a	
01102	09	A0433	209.44	2.75	1.310	$714.96	$721.97	$885.14	n/a	
01102	09	A0434	209.44	3.25	1.310	$844.96	$853.24	"$1,046.07"	n/a	
01102	09	A0435	8.06	1.00	1.310	$8.06	$12.09	n/a	$12.09	
01102	09	A0436	21.51	1.00	1.310	$21.51	$32.27	n/a	$32.27	
01102	99	A0425	6.73	1.00	1.078	$6.86	$6.93	n/a	$10.40	
01102	99	A0426	209.44	1.20	1.078	$270.35	$273.00	$334.70	n/a	
01102	99	A0427	209.44	1.90	1.078	$428.06	$432.25	$529.94	n/a	
01102	99	A0428	209.44	1.00	1.078	$225.29	$227.50	$278.92	n/a	
Northern California (cont'd)										
01102	99	A0429	209.44	1.60	1.078	$360.47	$364.00	$446.27	n/a	
01102	99	A0430	2842.29	1.00	1.078	"$2,953.14"	"$4,429.71"	n/a	"$4,429.71"	
01102	99	A0431	3304.58	1.00	1.078	"$3,433.46"	"$5,150.19"	n/a	"$5,150.19"	
01102	99	A0432	209.44	1.75	1.078	$394.26	$398.13	n/a	n/a	
01102	99	A0433	209.44	2.75	1.078	$619.56	$625.63	$767.02	n/a	
01102	99	A0434	209.44	3.25	1.078	$732.20	$739.38	$906.48	n/a	
01102	99	A0435	8.06	1.00	1.078	$8.06	$12.09	n/a	$12.09	
01102	99	A0436	21.51	1.00	1.078	$21.51	$32.27	n/a	$32.27	
Southern California										
01192	17	A0425	6.73	1.00	1.251	$6.86	$6.93	n/a	$10.40	
01192	17	A0426	209.44	1.20	1.251	$301.40	$304.35	$373.13	n/a	
01192	17	A0427	209.44	1.90	1.251	$477.21	$481.89	$590.80	n/a	
01192	17	A0428	209.44	1.00	1.251	$251.16	$253.63	$310.95	n/a	
01192	17	A0429	209.44	1.60	1.251	$401.86	$405.80	$497.51	n/a	
01192	17	A0430	2842.29	1.00	1.251	"$3,199.00"	"$4,798.50"	n/a	"$4,798.50"	
01192	17	A0431	3304.58	1.00	1.251	"$3,719.30"	"$5,578.96"	n/a	"$5,578.96"	
01192	17	A0432	209.44	1.75	1.251	$439.54	$443.85	n/a	n/a	
01192	17	A0433	209.44	2.75	1.251	$690.70	$697.47	$855.10	n/a	
01192	17	A0434	209.44	3.25	1.251	$816.28	$824.28	"$1,010.57"	n/a	
01192	17	A0435	8.06	1.00	1.251	$8.06	$12.09	n/a	$12.09	
01192	17	A0436	21.51	1.00	1.251	$21.51	$32.27	n/a	$32.27	
01192	18	A0425	6.73	1.00	1.220	$6.86	$6.93	n/a	$10.40	
01192	18	A0426	209.44	1.20	1.220	$295.83	$298.73	$366.25	n/a	
01192	18	A0427	209.44	1.90	1.220	$468.40	$472.99	$579.89	n/a	
01192	18	A0428	209.44	1.00	1.220	$246.53	$248.94	$305.21	n/a	
01192	18	A0429	209.44	1.60	1.220	$394.44	$398.31	$488.33	n/a	
01192	18	A0430	2842.29	1.00	1.220	"$3,154.94"	"$4,732.41"	n/a	"$4,732.41"	
01192	18	A0431	3304.58	1.00	1.220	"$3,668.08"	"$5,502.13"	n/a	"$5,502.13"	
01192	18	A0432	209.44	1.75	1.220	$431.42	$435.65	n/a	n/a	
01192	18	A0433	209.44	2.75	1.220	$677.95	$684.60	$839.32	n/a	
01192	18	A0434	209.44	3.25	1.220	$801.21	$809.07	$991.92	n/a	
01192	18	A0435	8.06	1.00	1.220	$8.06	$12.09	n/a	$12.09	
01192	18	A0436	21.51	1.00	1.220	$21.51	$32.27	n/a	$32.27	
01192	26	A0425	6.73	1.00	1.271	$6.86	$6.93	n/a	$10.40	
01192	26	A0426	209.44	1.20	1.271	$304.99	$307.98	$377.58	n/a	
01192	26	A0427	209.44	1.90	1.271	$482.89	$487.63	$597.83	n/a	
01192	26	A0428	209.44	1.00	1.271	$254.15	$256.65	$314.65	n/a	
01192	26	A0429	209.44	1.60	1.271	$406.65	$410.63	$503.44	n/a	
01192	26	A0430	2842.29	1.00	1.271	"$3,227.42"	"$4,841.13"	n/a	"$4,841.13"	
01192	26	A0431	3304.58	1.00	1.271	"$3,752.35"	"$5,628.53"	n/a	"$5,628.53"	
01192	26	A0432	209.44	1.75	1.271	$444.77	$449.13	n/a	n/a	
Southern California (cont'd)										
01192	26	A0433	209.44	2.75	1.271	$698.92	$705.78	$865.28	n/a	
01192	26	A0434	209.44	3.25	1.271	$826.00	$834.10	"$1,022.61"	n/a	
01192	26	A0435	8.06	1.00	1.271	$8.06	$12.09	n/a	$12.09	
01192	26	A0436	21.51	1.00	1.271	$21.51	$32.27	n/a	$32.27	
01192	99	A0425	6.73	1.00	1.078	$6.86	$6.93	n/a	$10.40	
01192	99	A0426	209.44	1.20	1.078	$270.35	$273.00	$334.70	n/a	
01192	99	A0427	209.44	1.90	1.078	$428.06	$432.25	$529.94	n/a	
01192	99	A0428	209.44	1.00	1.078	$225.29	$227.50	$278.92	n/a	
01192	99	A0429	209.44	1.60	1.078	$360.47	$364.00	$446.27	n/a	
01192	99	A0430	2842.29	1.00	1.078	"$2,953.14"	"$4,429.71"	n/a	"$4,429.71"	
01192	99	A0431	3304.58	1.00	1.078	"$3,433.46"	"$5,150.19"	n/a	"$5,150.19"	
01192	99	A0432	209.44	1.75	1.078	$394.26	$398.13	n/a	n/a	
01192	99	A0433	209.44	2.75	1.078	$619.56	$625.63	$767.02	n/a	
01192	99	A0434	209.44	3.25	1.078	$732.20	$739.38	$906.48	n/a	
01192	99	A0435	8.06	1.00	1.078	$8.06	$12.09	n/a	$12.09	
01192	99	A0436	21.51	1.00	1.078	$21.51	$32.27	n/a	$32.27	
Hawaii/Guam										
01202	01	A0425	6.73	1.00	1.198	$6.86	$6.93	n/a	$10.40	
01202	01	A0426	209.44	1.20	1.198	$291.89	$294.75	$361.36	n/a	
01202	01	A0427	209.44	1.90	1.198	$462.15	$466.68	$572.15	n/a	
01202	01	A0428	209.44	1.00	1.198	$243.24	$245.62	$301.13	n/a	
01202	01	A0429	209.44	1.60	1.198	$389.18	$393.00	$481.81	n/a	
01202	01	A0430	2842.29	1.00	1.198	"$3,123.68"	"$4,685.52"	n/a	"$4,685.52"	
01202	01	A0431	3304.58	1.00	1.198	"$3,631.73"	"$5,447.60"	n/a	"$5,447.60"	
01202	01	A0432	209.44	1.75	1.198	$425.67	$429.84	n/a	n/a	
01202	01	A0433	209.44	2.75	1.198	$668.90	$675.46	$828.12	n/a	
01202	01	A0434	209.44	3.25	1.198	$790.52	$798.27	$978.68	n/a	
01202	01	A0435	8.06	1.00	1.198	$8.06	$12.09	n/a	$12.09	
01202	01	A0436	21.51	1.00	1.198	$21.51	$32.27	n/a	$32.27	
Nevada										
01302	00	A0425	6.73	1.00	1.042	$6.86	$6.93	n/a	$10.40	
01302	00	A0426	209.44	1.20	1.042	$263.89	$266.48	$326.70	n/a	
01302	00	A0427	209.44	1.90	1.042	$417.83	$421.92	$517.28	n/a	
01302	00	A0428	209.44	1.00	1.042	$219.91	$222.07	$272.25	n/a	
01302	00	A0429	209.44	1.60	1.042	$351.86	$355.30	$435.60	n/a	
01302	00	A0430	2842.29	1.00	1.042	"$2,901.98"	"$4,352.97"	n/a	"$4,352.97"	
01302	00	A0431	3304.58	1.00	1.042	"$3,373.98"	"$5,060.96"	n/a	"$5,060.96"	
01302	00	A0432	209.44	1.75	1.042	$384.84	$388.61	n/a	n/a	
01302	00	A0433	209.44	2.75	1.042	$604.75	$610.68	$748.69	n/a	
01302	00	A0434	209.44	3.25	1.042	$714.71	$721.71	$884.82	n/a	
01302	00	A0435	8.06	1.00	1.042	$8.06	$12.09	n/a	$12.09	
01302	00	A0436	21.51	1.00	1.042	$21.51	$32.27	n/a	$32.27	
Arizona										
03102	00	A0425	6.73	1.00	0.983	$6.86	$6.93	n/a	$10.40	
03102	00	A0426	209.44	1.20	0.983	$253.30	$255.79	$313.60	n/a	
03102	00	A0427	209.44	1.90	0.983	$401.06	$405.00	$496.53	n/a	
03102	00	A0428	209.44	1.00	0.983	$211.09	$213.16	$261.33	n/a	
03102	00	A0429	209.44	1.60	0.983	$337.74	$341.05	$418.13	n/a	
03102	00	A0430	2842.29	1.00	0.983	"$2,818.13"	"$4,227.20"	n/a	"$4,227.20"	
03102	00	A0431	3304.58	1.00	0.983	"$3,276.49"	"$4,914.74"	n/a	"$4,914.74"	
03102	00	A0432	209.44	1.75	0.983	$369.40	$373.02	n/a	n/a	
03102	00	A0433	209.44	2.75	0.983	$580.49	$586.18	$718.66	n/a	
03102	00	A0434	209.44	3.25	0.983	$686.03	$692.76	$849.32	n/a	
03102	00	A0435	8.06	1.00	0.983	$8.06	$12.09	n/a	$12.09	
03102	00	A0436	21.51	1.00	0.983	$21.51	$32.27	n/a	$32.27	
Montana										
03202	01	A0425	6.73	1.00	1.000	$6.86	$6.93	n/a	$10.40	
03202	01	A0426	209.44	1.20	1.000	$256.35	$258.87	$317.37	n/a	
03202	01	A0427	209.44	1.90	1.000	$405.89	$409.87	$502.51	n/a	
03202	01	A0428	209.44	1.00	1.000	$213.63	$215.72	$264.48	n/a	
03202	01	A0429	209.44	1.60	1.000	$341.81	$345.16	$423.16	n/a	
03202	01	A0430	2842.29	1.00	1.000	"$2,842.29"	"$4,263.44"	n/a	"$4,263.44"	
03202	01	A0431	3304.58	1.00	1.000	"$3,304.58"	"$4,956.87"	n/a	"$4,956.87"	
03202	01	A0432	209.44	1.75	1.000	$373.85	$377.52	n/a	n/a	
03202	01	A0433	209.44	2.75	1.000	$587.48	$593.24	$727.31	n/a	
03202	01	A0434	209.44	3.25	1.000	$694.29	$701.10	$859.55	n/a	
03202	01	A0435	8.06	1.00	1.000	$8.06	$12.09	n/a	$12.09	
03202	01	A0436	21.51	1.00	1.000	$21.51	$32.27	n/a	$32.27	
North Dakota										
03302	01	A0425	6.73	1.00	1.000	$6.86	$6.93	n/a	$10.40	
03302	01	A0426	209.44	1.20	1.000	$256.35	$258.87	$317.37	n/a	
03302	01	A0427	209.44	1.90	1.000	$405.89	$409.87	$502.51	n/a	
03302	01	A0428	209.44	1.00	1.000	$213.63	$215.72	$264.48	n/a	
03302	01	A0429	209.44	1.60	1.000	$341.81	$345.16	$423.16	n/a	
03302	01	A0430	2842.29	1.00	1.000	"$2,842.29"	"$4,263.44"	n/a	"$4,263.44"	
03302	01	A0431	3304.58	1.00	1.000	"$3,304.58"	"$4,956.87"	n/a	"$4,956.87"	
03302	01	A0432	209.44	1.75	1.000	$373.85	$377.52	n/a	n/a	
03302	01	A0433	209.44	2.75	1.000	$587.48	$593.24	$727.31	n/a	
03302	01	A0434	209.44	3.25	1.000	$694.29	$701.10	$859.55	n/a	
03302	01	A0435	8.06	1.00	1.000	$8.06	$12.09	n/a	$12.09	
03302	01	A0436	21.51	1.00	1.000	$21.51	$32.27	n/a	$32.27	
South Dakota										
03402	02	A0425	6.73	1.00	1.000	$6.86	$6.93	n/a	$10.40	
03402	02	A0426	209.44	1.20	1.000	$256.35	$258.87	$317.37	n/a	
03402	02	A0427	209.44	1.90	1.000	$405.89	$409.87	$502.51	n/a	
03402	02	A0428	209.44	1.00	1.000	$213.63	$215.72	$264.48	n/a	
03402	02	A0429	209.44	1.60	1.000	$341.81	$345.16	$423.16	n/a	
03402	02	A0430	2842.29	1.00	1.000	"$2,842.29"	"$4,263.44"	n/a	"$4,263.44"	
03402	02	A0431	3304.58	1.00	1.000	"$3,304.58"	"$4,956.87"	n/a	"$4,956.87"	
03402	02	A0432	209.44	1.75	1.000	$373.85	$377.52	n/a	n/a	
03402	02	A0433	209.44	2.75	1.000	$587.48	$593.24	$727.31	n/a	
03402	02	A0434	209.44	3.25	1.000	$694.29	$701.10	$859.55	n/a	
03402	02	A0435	8.06	1.00	1.000	$8.06	$12.09	n/a	$12.09	
03402	02	A0436	21.51	1.00	1.000	$21.51	$32.27	n/a	$32.27	
Utah										
03502	09	A0425	6.73	1.00	0.953	$6.86	$6.93	n/a	$10.40	
03502	09	A0426	209.44	1.20	0.953	$247.92	$250.35	$306.93	n/a	
03502	09	A0427	209.44	1.90	0.953	$392.54	$396.39	$485.97	n/a	
03502	09	A0428	209.44	1.00	0.953	$206.60	$208.63	$255.78	n/a	
03502	09	A0429	209.44	1.60	0.953	$330.56	$333.80	$409.24	n/a	
03502	09	A0430	2842.29	1.00	0.953	"$2,775.50"	"$4,163.24"	n/a	"$4,163.24"	
03502	09	A0431	3304.58	1.00	0.953	"$3,226.92"	"$4,840.38"	n/a	"$4,840.38"	
03502	09	A0432	209.44	1.75	0.953	$361.55	$365.10	n/a	n/a	
03502	09	A0433	209.44	2.75	0.953	$568.15	$573.72	$703.38	n/a	
03502	09	A0434	209.44	3.25	0.953	$671.45	$678.03	$831.27	n/a	
03502	09	A0435	8.06	1.00	0.953	$8.06	$12.09	n/a	$12.09	
03502	09	A0436	21.51	1.00	0.953	$21.51	$32.27	n/a	$32.27	
Wyoming										
03602	21	A0425	6.73	1.00	1.000	$6.86	$6.93	n/a	$10.40	
03602	21	A0426	209.44	1.20	1.000	$256.35	$258.87	$317.37	n/a	
03602	21	A0427	209.44	1.90	1.000	$405.89	$409.87	$502.51	n/a	
03602	21	A0428	209.44	1.00	1.000	$213.63	$215.72	$264.48	n/a	
03602	21	A0429	209.44	1.60	1.000	$341.81	$345.16	$423.16	n/a	
03602	21	A0430	2842.29	1.00	1.000	"$2,842.29"	"$4,263.44"	n/a	"$4,263.44"	
03602	21	A0431	3304.58	1.00	1.000	"$3,304.58"	"$4,956.87"	n/a	"$4,956.87"	
03602	21	A0432	209.44	1.75	1.000	$373.85	$377.52	n/a	n/a	
03602	21	A0433	209.44	2.75	1.000	$587.48	$593.24	$727.31	n/a	
03602	21	A0434	209.44	3.25	1.000	$694.29	$701.10	$859.55	n/a	
03602	21	A0435	8.06	1.00	1.000	$8.06	$12.09	n/a	$12.09	
03602	21	A0436	21.51	1.00	1.000	$21.51	$32.27	n/a	$32.27	
Colorado										
04102	01	A0425	6.73	1.00	0.997	$6.86	$6.93	n/a	$10.40	
04102	01	A0426	209.44	1.20	0.997	$255.82	$258.32	$316.71	n/a	
04102	01	A0427	209.44	1.90	0.997	$405.04	$409.01	$501.45	n/a	
04102	01	A0428	209.44	1.00	0.997	$213.18	$215.27	$263.92	n/a	
04102	01	A0429	209.44	1.60	0.997	$341.09	$344.43	$422.27	n/a	
04102	01	A0430	2842.29	1.00	0.997	"$2,838.03"	"$4,257.04"	n/a	"$4,257.04"	
04102	01	A0431	3304.58	1.00	0.997	"$3,299.62"	"$4,949.43"	n/a	"$4,949.43"	
04102	01	A0432	209.44	1.75	0.997	$373.07	$376.72	n/a	n/a	
04102	01	A0433	209.44	2.75	0.997	$586.25	$591.99	$725.78	n/a	
04102	01	A0434	209.44	3.25	0.997	$692.84	$699.63	$857.74	n/a	
04102	01	A0435	8.06	1.00	0.997	$8.06	$12.09	n/a	$12.09	
04102	01	A0436	21.51	1.00	0.997	$21.51	$32.27	n/a	$32.27	
New Mexico										
04202	05	A0425	6.73	1.00	0.947	$6.86	$6.93	n/a	$10.40	
04202	05	A0426	209.44	1.20	0.947	$246.84	$249.26	$305.60	n/a	
04202	05	A0427	209.44	1.90	0.947	$390.84	$394.67	$483.86	n/a	
04202	05	A0428	209.44	1.00	0.947	$205.70	$207.72	$254.66	n/a	
04202	05	A0429	209.44	1.60	0.947	$329.13	$332.35	$407.46	n/a	
04202	05	A0430	2842.29	1.00	0.947	"$2,766.97"	"$4,150.45"	n/a	"$4,150.45"	
04202	05	A0431	3304.58	1.00	0.947	"$3,217.01"	"$4,825.51"	n/a	"$4,825.51"	
04202	05	A0432	209.44	1.75	0.947	$359.98	$363.51	n/a	n/a	
04202	05	A0433	209.44	2.75	0.947	$565.68	$571.23	$700.33	n/a	
04202	05	A0434	209.44	3.25	0.947	$668.54	$675.09	$827.66	n/a	
04202	05	A0435	8.06	1.00	0.947	$8.06	$12.09	n/a	$12.09	
04202	05	A0436	21.51	1.00	0.947	$21.51	$32.27	n/a	$32.27	
Oklahoma										
04302	00	A0425	6.73	1.00	0.927	$6.86	$6.93	n/a	$10.40	
04302	00	A0426	209.44	1.20	0.927	$243.25	$245.64	$301.15	n/a	
04302	00	A0427	209.44	1.90	0.927	$385.15	$388.93	$476.83	n/a	
04302	00	A0428	209.44	1.00	0.927	$202.71	$204.70	$250.96	n/a	
04302	00	A0429	209.44	1.60	0.927	$324.34	$327.52	$401.54	n/a	
04302	00	A0430	2842.29	1.00	0.927	"$2,738.55"	"$4,107.82"	n/a	"$4,107.82"	
04302	00	A0431	3304.58	1.00	0.927	"$3,183.96"	"$4,775.94"	n/a	"$4,775.94"	
04302	00	A0432	209.44	1.75	0.927	$354.75	$358.22	n/a	n/a	
04302	00	A0433	209.44	2.75	0.927	$557.46	$562.92	$690.15	n/a	
04302	00	A0434	209.44	3.25	0.927	$658.82	$665.27	$815.63	n/a	
04302	00	A0435	8.06	1.00	0.927	$8.06	$12.09	n/a	$12.09	
04302	00	A0436	21.51	1.00	0.927	$21.51	$32.27	n/a	$32.27	
Texas										
04402	09	A0425	6.73	1.00	0.967	$6.86	$6.93	n/a	$10.40	
04402	09	A0426	209.44	1.20	0.967	$250.43	$252.89	$310.04	n/a	
04402	09	A0427	209.44	1.90	0.967	$396.52	$400.41	$490.90	n/a	
04402	09	A0428	209.44	1.00	0.967	$208.69	$210.74	$258.37	n/a	
04402	09	A0429	209.44	1.60	0.967	$333.91	$337.18	$413.39	n/a	
04402	09	A0430	2842.29	1.00	0.967	"$2,795.39"	"$4,193.09"	n/a	"$4,193.09"	
04402	09	A0431	3304.58	1.00	0.967	"$3,250.05"	"$4,875.08"	n/a	"$4,875.08"	
04402	09	A0432	209.44	1.75	0.967	$365.21	$368.79	n/a	n/a	
04402	09	A0433	209.44	2.75	0.967	$573.91	$579.53	$710.51	n/a	
04402	09	A0434	209.44	3.25	0.967	$678.26	$684.90	$839.69	n/a	
04402	09	A0435	8.06	1.00	0.967	$8.06	$12.09	n/a	$12.09	
04402	09	A0436	21.51	1.00	0.967	$21.51	$32.27	n/a	$32.27	
04402	11	A0425	6.73	1.00	1.001	$6.86	$6.93	n/a	$10.40	
04402	11	A0426	209.44	1.20	1.001	$256.53	$259.05	$317.59	n/a	
04402	11	A0427	209.44	1.90	1.001	$406.18	$410.16	$502.86	n/a	
04402	11	A0428	209.44	1.00	1.001	$213.78	$215.87	$264.66	n/a	
04402	11	A0429	209.44	1.60	1.001	$342.05	$345.40	$423.46	n/a	
04402	11	A0430	2842.29	1.00	1.001	"$2,843.71"	"$4,265.57"	n/a	"$4,265.57"	
04402	11	A0431	3304.58	1.00	1.001	"$3,306.23"	"$4,959.35"	n/a	"$4,959.35"	
04402	11	A0432	209.44	1.75	1.001	$374.11	$377.78	n/a	n/a	
04402	11	A0433	209.44	2.75	1.001	$587.89	$593.65	$727.82	n/a	
04402	11	A0434	209.44	3.25	1.001	$694.78	$701.59	$860.15	n/a	
04402	11	A0435	8.06	1.00	1.001	$8.06	$12.09	n/a	$12.09	
04402	11	A0436	21.51	1.00	1.001	$21.51	$32.27	n/a	$32.27	
04402	15	A0425	6.73	1.00	0.985	$6.86	$6.93	n/a	$10.40	
04402	15	A0426	209.44	1.20	0.985	$253.66	$256.15	$314.04	n/a	
04402	15	A0427	209.44	1.90	0.985	$401.63	$405.57	$497.23	n/a	
04402	15	A0428	209.44	1.00	0.985	$211.39	$213.46	$261.70	n/a	
04402	15	A0429	209.44	1.60	0.985	$338.22	$341.53	$418.72	n/a	
04402	15	A0430	2842.29	1.00	0.985	"$2,820.97"	"$4,231.46"	n/a	"$4,231.46"	
04402	15	A0431	3304.58	1.00	0.985	"$3,279.80"	"$4,919.69"	n/a	"$4,919.69"	
04402	15	A0432	209.44	1.75	0.985	$369.92	$373.55	n/a	n/a	
Texas (cont'd)										
04402	15	A0433	209.44	2.75	0.985	$581.31	$587.01	$719.67	n/a	
04402	15	A0434	209.44	3.25	0.985	$687.00	$693.74	$850.52	n/a	
04402	15	A0435	8.06	1.00	0.985	$8.06	$12.09	n/a	$12.09	
04402	15	A0436	21.51	1.00	0.985	$21.51	$32.27	n/a	$32.27	
04402	18	A0425	6.73	1.00	0.992	$6.86	$6.93	n/a	$10.40	
04402	18	A0426	209.44	1.20	0.992	$254.92	$257.42	$315.59	n/a	
04402	18	A0427	209.44	1.90	0.992	$403.62	$407.58	$499.69	n/a	
04402	18	A0428	209.44	1.00	0.992	$212.43	$214.52	$263.00	n/a	
04402	18	A0429	209.44	1.60	0.992	$339.89	$343.22	$420.79	n/a	
04402	18	A0430	2842.29	1.00	0.992	"$2,830.92"	"$4,246.38"	n/a	"$4,246.38"	
04402	18	A0431	3304.58	1.00	0.992	"$3,291.36"	"$4,937.04"	n/a	"$4,937.04"	
04402	18	A0432	209.44	1.75	0.992	$371.76	$375.40	n/a	n/a	
04402	18	A0433	209.44	2.75	0.992	$584.19	$589.92	$723.24	n/a	
04402	18	A0434	209.44	3.25	0.992	$690.41	$697.17	$854.74	n/a	
04402	18	A0435	8.06	1.00	0.992	$8.06	$12.09	n/a	$12.09	
04402	18	A0436	21.51	1.00	0.992	$21.51	$32.27	n/a	$32.27	
04402	20	A0425	6.73	1.00	0.937	$6.86	$6.93	n/a	$10.40	
04402	20	A0426	209.44	1.20	0.937	$245.05	$247.45	$303.38	n/a	
04402	20	A0427	209.44	1.90	0.937	$387.99	$391.80	$480.35	n/a	
04402	20	A0428	209.44	1.00	0.937	$204.21	$206.21	$252.81	n/a	
04402	20	A0429	209.44	1.60	0.937	$326.73	$329.94	$404.50	n/a	
04402	20	A0430	2842.29	1.00	0.937	"$2,752.76"	"$4,129.14"	n/a	"$4,129.14"	
04402	20	A0431	3304.58	1.00	0.937	"$3,200.49"	"$4,800.73"	n/a	"$4,800.73"	
04402	20	A0432	209.44	1.75	0.937	$357.36	$360.87	n/a	n/a	
04402	20	A0433	209.44	2.75	0.937	$561.57	$567.08	$695.24	n/a	
04402	20	A0434	209.44	3.25	0.937	$663.68	$670.18	$821.64	n/a	
04402	20	A0435	8.06	1.00	0.937	$8.06	$12.09	n/a	$12.09	
04402	20	A0436	21.51	1.00	0.937	$21.51	$32.27	n/a	$32.27	
04402	28	A0425	6.73	1.00	0.982	$6.86	$6.93	n/a	$10.40	
04402	28	A0426	209.44	1.20	0.982	$253.12	$255.61	$313.37	n/a	
04402	28	A0427	209.44	1.90	0.982	$400.78	$404.71	$496.17	n/a	
04402	28	A0428	209.44	1.00	0.982	$210.94	$213.01	$261.14	n/a	
Texas (cont'd)										
04402	28	A0429	209.44	1.60	0.982	$337.50	$340.81	$417.83	n/a	
04402	28	A0430	2842.29	1.00	0.982	"$2,816.71"	"$4,225.06"	n/a	"$4,225.06"	
04402	28	A0431	3304.58	1.00	0.982	"$3,274.84"	"$4,912.26"	n/a	"$4,912.26"	
04402	28	A0432	209.44	1.75	0.982	$369.14	$372.76	n/a	n/a	
04402	28	A0433	209.44	2.75	0.982	$580.08	$585.76	$718.15	n/a	
04402	28	A0434	209.44	3.25	0.982	$685.55	$692.27	$848.72	n/a	
04402	28	A0435	8.06	1.00	0.982	$8.06	$12.09	n/a	$12.09	
04402	28	A0436	21.51	1.00	0.982	$21.51	$32.27	n/a	$32.27	
04402	31	A0425	6.73	1.00	0.995	$6.86	$6.93	n/a	$10.40	
04402	31	A0426	209.44	1.20	0.995	$255.46	$257.96	$316.26	n/a	
04402	31	A0427	209.44	1.90	0.995	$404.47	$408.44	$500.75	n/a	
