(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*	
Mississippi										
00660	00	A0434	209.44	3.25	0.932	$661.25	$667.73	$818.63	n/a	
00660	00	A0435	8.06	1.00	0.932	$8.06	$12.09	n/a	$12.09	
00660	00	A0436	21.51	1.00	0.932	$21.51	$32.27	n/a	$32.27	
Alaska										
00831	01	A0425	6.73	1.00	1.092	$6.86	$6.93	n/a	$10.40	
00831	01	A0426	209.44	1.20	1.092	$272.86	$275.54	$337.81	n/a	
00831	01	A0427	209.44	1.90	1.092	$432.03	$436.27	$534.87	n/a	
00831	01	A0428	209.44	1.00	1.092	$227.39	$229.62	$281.51	n/a	
00831	01	A0429	209.44	1.60	1.092	$363.82	$367.39	$450.41	n/a	
00831	01	A0430	2842.29	1.00	1.092	"$2,973.04"	"$4,459.55"	n/a	"$4,459.55"	
00831	01	A0431	3304.58	1.00	1.092	"$3,456.59"	"$5,184.89"	n/a	"$5,184.89"	
00831	01	A0432	209.44	1.75	1.092	$397.93	$401.83	n/a	n/a	
00831	01	A0433	209.44	2.75	1.092	$625.31	$631.44	$774.15	n/a	
00831	01	A0434	209.44	3.25	1.092	$739.01	$746.25	$914.90	n/a	
00831	01	A0435	8.06	1.00	1.092	$8.06	$12.09	n/a	$12.09	
00831	01	A0436	21.51	1.00	1.092	$21.51	$32.27	n/a	$32.27	
Oregon										
00835	01	A0425	6.73	1.00	1.016	$6.86	$6.93	n/a	$10.40	
00835	01	A0426	209.44	1.20	1.016	$259.23	$261.77	$320.93	n/a	
00835	01	A0427	209.44	1.90	1.016	$410.44	$414.46	$508.13	n/a	
00835	01	A0428	209.44	1.00	1.016	$216.02	$218.14	$267.44	n/a	
00835	01	A0429	209.44	1.60	1.016	$345.63	$349.02	$427.90	n/a	
00835	01	A0430	2842.29	1.00	1.016	"$2,865.03"	"$4,297.54"	n/a	"$4,297.54"	
00835	01	A0431	3304.58	1.00	1.016	"$3,331.02"	"$4,996.52"	n/a	"$4,996.52"	
00835	01	A0432	209.44	1.75	1.016	$378.04	$381.74	n/a	n/a	
00835	01	A0433	209.44	2.75	1.016	$594.06	$599.88	$735.46	n/a	
00835	01	A0434	209.44	3.25	1.016	$702.07	$708.95	$869.18	n/a	
00835	01	A0435	8.06	1.00	1.016	$8.06	$12.09	n/a	$12.09	
00835	01	A0436	21.51	1.00	1.016	$21.51	$32.27	n/a	$32.27	
00835	99	A0425	6.73	1.00	0.968	$6.86	$6.93	n/a	$10.40	
00835	99	A0426	209.44	1.20	0.968	$250.61	$253.07	$310.26	n/a	
00835	99	A0427	209.44	1.90	0.968	$396.80	$400.69	$491.25	n/a	
00835	99	A0428	209.44	1.00	0.968	$208.84	$210.89	$258.55	n/a	
