(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*
Northern California									
01112	03	A0425	7.13	1.00	n/a	$7.27	$7.34	n/a	$11.02
01112	03	A0426	221.63	1.20	1.286	$325.58	$328.78	$403.08	n/a
01112	03	A0427	221.63	1.90	1.286	$515.51	$520.56	$638.21	n/a
01112	03	A0428	221.63	1.00	1.286	$271.32	$273.98	$335.90	n/a
01112	03	A0429	221.63	1.60	1.286	$434.11	$438.37	$537.44	n/a
01112	03	A0430	3007.57	1.00	1.286	"$3,437.65"	"$5,156.48"	n/a	"$5,156.48"
01112	03	A0431	3496.75	1.00	1.286	"$3,996.79"	"$5,995.18"	n/a	"$5,995.18"
01112	03	A0432	221.63	1.75	1.286	$474.81	$479.47	n/a	n/a
01112	03	A0433	221.63	2.75	1.286	$746.13	$753.45	$923.72	n/a
01112	03	A0434	221.63	3.25	1.286	$881.79	$890.44	"$1,091.67"	n/a
01112	03	A0435	8.53	1.00	n/a	$8.53	$12.80	n/a	$12.80
01112	03	A0436	22.77	1.00	n/a	$22.77	$34.16	n/a	$34.16
01112	05	A0425	7.13	1.00	n/a	$7.27	$7.34	n/a	$11.02
01112	05	A0426	221.63	1.20	1.388	$344.95	$348.34	$427.06	n/a
01112	05	A0427	221.63	1.90	1.388	$546.18	$551.53	$676.18	n/a
01112	05	A0428	221.63	1.00	1.388	$287.46	$290.28	$355.88	n/a
01112	05	A0429	221.63	1.60	1.388	$459.94	$464.45	$569.41	n/a
01112	05	A0430	3007.57	1.00	1.388	"$3,591.04"	"$5,386.56"	n/a	"$5,386.56"
01112	05	A0431	3496.75	1.00	1.388	"$4,175.12"	"$6,262.68"	n/a	"$6,262.68"
01112	05	A0432	221.63	1.75	1.388	$503.06	$507.99	n/a	n/a
01112	05	A0433	221.63	2.75	1.388	$790.52	$798.27	$978.68	n/a
01112	05	A0434	221.63	3.25	1.388	$934.25	$943.41	"$1,156.62"	n/a
01112	05	A0435	8.53	1.00	n/a	$8.53	$12.80	n/a	$12.80
01112	05	A0436	22.77	1.00	n/a	$22.77	$34.16	n/a	$34.16
Northern California (cont'd)									
01112	06	A0425	7.13	1.00	n/a	$7.27	$7.34	n/a	$11.02
01112	06	A0426	221.63	1.20	1.372	$341.92	$345.27	$423.30	n/a
01112	06	A0427	221.63	1.90	1.372	$541.37	$546.67	$670.22	n/a
01112	06	A0428	221.63	1.00	1.372	$284.93	$287.72	$352.75	n/a
01112	06	A0429	221.63	1.60	1.372	$455.89	$460.36	$564.40	n/a
01112	06	A0430	3007.57	1.00	1.372	"$3,566.98"	"$5,350.47"	n/a	"$5,350.47"
01112	06	A0431	3496.75	1.00	1.372	"$4,147.15"	"$6,220.72"	n/a	"$6,220.72"
01112	06	A0432	221.63	1.75	1.372	$498.63	$503.51	n/a	n/a
01112	06	A0433	221.63	2.75	1.372	$783.56	$791.24	$970.06	n/a
01112	06	A0434	221.63	3.25	1.372	$926.02	$935.10	"$1,146.43"	n/a
01112	06	A0435	8.53	1.00	n/a	$8.53	$12.80	n/a	$12.80
01112	06	A0436	22.77	1.00	n/a	$22.77	$34.16	n/a	$34.16
01112	07	A0425	7.13	1.00	n/a	$7.27	$7.34	n/a	$11.02
01112	07	A0426	221.63	1.20	1.260	$320.65	$323.79	$396.97	n/a
01112	07	A0427	221.63	1.90	1.260	$507.69	$512.67	$628.53	n/a
01112	07	A0428	221.63	1.00	1.260	$267.21	$269.83	$330.81	n/a
01112	07	A0429	221.63	1.60	1.260	$427.53	$431.72	$529.29	n/a
01112	07	A0430	3007.57	1.00	1.260	"$3,398.55"	"$5,097.83"	n/a	"$5,097.83"
01112	07	A0431	3496.75	1.00	1.260	"$3,951.33"	"$5,926.99"	n/a	"$5,926.99"
01112	07	A0432	221.63	1.75	1.260	$467.61	$472.19	n/a	n/a
01112	07	A0433	221.63	2.75	1.260	$734.82	$742.02	$909.72	n/a
01112	07	A0434	221.63	3.25	1.260	$868.42	$876.93	"$1,075.12"	n/a
01112	07	A0435	8.53	1.00	n/a	$8.53	$12.80	n/a	$12.80
01112	07	A0436	22.77	1.00	n/a	$22.77	$34.16	n/a	$34.16
Northern California (cont'd)									
01112	09	A0425	7.13	1.00	n/a	$7.27	$7.34	n/a	$11.02
01112	09	A0426	221.63	1.20	1.347	$337.17	$340.47	$417.42	n/a
01112	09	A0427	221.63	1.90	1.347	$533.85	$539.08	$660.92	n/a
01112	09	A0428	221.63	1.00	1.347	$280.97	$283.73	$347.85	n/a
01112	09	A0429	221.63	1.60	1.347	$449.56	$453.96	$556.56	n/a
01112	09	A0430	3007.57	1.00	1.347	"$3,529.38"	"$5,294.08"	n/a	"$5,294.08"
01112	09	A0431	3496.75	1.00	1.347	"$4,103.44"	"$6,155.15"	n/a	"$6,155.15"
01112	09	A0432	221.63	1.75	1.347	$491.70	$496.52	n/a	n/a
01112	09	A0433	221.63	2.75	1.347	$772.68	$780.25	$956.59	n/a
01112	09	A0434	221.63	3.25	1.347	$913.16	$922.12	"$1,130.51"	n/a
01112	09	A0435	8.53	1.00	n/a	$8.53	$12.80	n/a	$12.80
01112	09	A0436	22.77	1.00	n/a	$22.77	$34.16	n/a	$34.16
01112	99	A0425	7.13	1.00	n/a	$7.27	$7.34	n/a	$11.02
01112	99	A0426	221.63	1.20	1.083	$287.04	$289.85	$355.36	n/a
01112	99	A0427	221.63	1.90	1.083	$454.47	$458.93	$562.65	n/a
01112	99	A0428	221.63	1.00	1.083	$239.20	$241.54	$296.13	n/a
01112	99	A0429	221.63	1.60	1.083	$382.71	$386.47	$473.81	n/a
01112	99	A0430	3007.57	1.00	1.083	"$3,132.38"	"$4,698.58"	n/a	"$4,698.58"
01112	99	A0431	3496.75	1.00	1.083	"$3,641.87"	"$5,462.80"	n/a	"$5,462.80"
01112	99	A0432	221.63	1.75	1.083	$418.59	$422.70	n/a	n/a
01112	99	A0433	221.63	2.75	1.083	$657.79	$664.24	$814.36	n/a
01112	99	A0434	221.63	3.25	1.083	$777.39	$785.01	$962.42	n/a
01112	99	A0435	8.53	1.00	n/a	$8.53	$12.80	n/a	$12.80
01112	99	A0436	22.77	1.00	n/a	$22.77	$34.16	n/a	$34.16
Southern California									
01182	17	A0425	7.13	1.00	n/a	$7.27	$7.34	n/a	$11.02
01182	17	A0426	221.63	1.20	1.180	$305.46	$308.45	$378.16	n/a
01182	17	A0427	221.63	1.90	1.180	$483.64	$488.38	$598.75	n/a
01182	17	A0428	221.63	1.00	1.180	$254.55	$257.04	$315.13	n/a
01182	17	A0429	221.63	1.60	1.180	$407.27	$411.27	$504.21	n/a
01182	17	A0430	3007.57	1.00	1.180	"$3,278.25"	"$4,917.38"	n/a	"$4,917.38"
01182	17	A0431	3496.75	1.00	1.180	"$3,811.46"	"$5,717.19"	n/a	"$5,717.19"
01182	17	A0432	221.63	1.75	1.180	$445.46	$449.82	n/a	n/a
01182	17	A0433	221.63	2.75	1.180	$700.00	$706.87	$866.62	n/a
01182	17	A0434	221.63	3.25	1.180	$827.28	$835.39	"$1,024.18"	n/a
01182	17	A0435	8.53	1.00	n/a	$8.53	$12.80	n/a	$12.80
01182	17	A0436	22.77	1.00	n/a	$22.77	$34.16	n/a	$34.16
01182	18	A0425	7.13	1.00	n/a	$7.27	$7.34	n/a	$11.02
01182	18	A0426	221.63	1.20	1.161	$301.85	$304.81	$373.69	n/a
01182	18	A0427	221.63	1.90	1.161	$477.93	$482.61	$591.68	n/a
01182	18	A0428	221.63	1.00	1.161	$251.54	$254.01	$311.41	n/a
01182	18	A0429	221.63	1.60	1.161	$402.46	$406.41	$498.26	n/a
