CONTRACTOR/CARRIER	LOCALITY	HCPCS	RVU	GPCI	BASE RATE	URBAN BASE RATE / URBAN MILEAGE	RURAL BASE RATE / RURAL MILEAGE	RURAL BASE RATE / LOWEST QUARTILE	RURAL GROUND MILES 1-17*
01112	05	A0425	1.00	1.325	$7.23	$7.37	$7.45	n/a	$11.18
01112	05	A0426	1.20	1.325	$224.74	$337.66	$340.97	$418.03	n/a
01112	05	A0427	1.90	1.325	$224.74	$534.63	$539.87	$661.88	n/a
01112	05	A0428	1.00	1.325	$224.74	$281.39	$284.14	$348.36	n/a
01112	05	A0429	1.60	1.325	$224.74	$450.22	$454.63	$557.38	n/a
01112	05	A0430	1.00	1.325	"$3,049.69"	"$3,545.26"	"$5,317.90"	n/a	"$5,317.90"
01112	05	A0431	1.00	1.325	"$3,545.72"	"$4,121.90"	"$6,182.85"	n/a	"$6,182.85"
01112	05	A0432	1.75	1.325	$224.74	$492.43	$497.25	n/a	n/a
01112	05	A0433	2.75	1.325	$224.74	$773.81	$781.40	$958.00	n/a
01112	05	A0434	3.25	1.325	$224.74	$914.50	$923.47	"$1,132.17"	n/a
01112	05	A0435	1.00	1.325	$8.65	$8.65	$12.98	n/a	$12.98
01112	05	A0436	1.00	1.325	$23.09	$23.09	$34.64	n/a	$34.64
01112	06	A0425	1.00	1.325	$7.23	$7.37	$7.45	n/a	$11.18
01112	06	A0426	1.20	1.325	$224.74	$337.66	$340.97	$418.03	n/a
01112	06	A0427	1.90	1.325	$224.74	$534.63	$539.87	$661.88	n/a
01112	06	A0428	1.00	1.325	$224.74	$281.39	$284.14	$348.36	n/a
01112	06	A0429	1.60	1.325	$224.74	$450.22	$454.63	$557.38	n/a
01112	06	A0430	1.00	1.325	"$3,049.69"	"$3,545.26"	"$5,317.90"	n/a	"$5,317.90"
01112	06	A0431	1.00	1.325	"$3,545.72"	"$4,121.90"	"$6,182.85"	n/a	"$6,182.85"
01112	06	A0432	1.75	1.325	$224.74	$492.43	$497.25	n/a	n/a
01112	06	A0433	2.75	1.325	$224.74	$773.81	$781.40	$958.00	n/a
01112	06	A0434	3.25	1.325	$224.74	$914.50	$923.47	"$1,132.17"	n/a
