(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*
Mississippi									
00660	00	A0436	21.53	1.00	0.930	$21.53	$32.30	n/a	$32.30
Alaska									
00831	01	A0425	6.74	1.00	1.090	$6.87	$6.94	n/a	$10.41
00831	01	A0426	209.65	1.20	1.090	$272.78	$275.45	$337.70	n/a
00831	01	A0427	209.65	1.90	1.090	$431.90	$436.13	$534.70	n/a
00831	01	A0428	209.65	1.00	1.090	$227.32	$229.54	$281.42	n/a
00831	01	A0429	209.65	1.60	1.090	$363.70	$367.27	$450.27	n/a
00831	01	A0430	2845.14	1.00	1.090	"$2,973.17"	"$4,459.76"	n/a	"$4,459.76"
00831	01	A0431	3307.89	1.00	1.090	"$3,456.75"	"$5,185.12"	n/a	"$5,185.12"
00831	01	A0432	209.65	1.75	1.090	$397.80	$401.70	n/a	n/a
00831	01	A0433	209.65	2.75	1.090	$625.12	$631.25	$773.91	n/a
00831	01	A0434	209.65	3.25	1.090	$738.77	$746.02	$914.62	n/a
00831	01	A0435	8.07	1.00	1.090	$8.07	$12.11	n/a	$12.11
00831	01	A0436	21.53	1.00	1.090	$21.53	$32.30	n/a	$32.30
Oregon									
00835	01	A0425	6.74	1.00	1.015	$6.87	$6.94	n/a	$10.41
00835	01	A0426	209.65	1.20	1.015	$259.31	$261.85	$321.03	n/a
00835	01	A0427	209.65	1.90	1.015	$410.57	$414.59	$508.29	n/a
00835	01	A0428	209.65	1.00	1.015	$216.09	$218.21	$267.52	n/a
00835	01	A0429	209.65	1.60	1.015	$345.74	$349.13	$428.03	n/a
00835	01	A0430	2845.14	1.00	1.015	"$2,866.48"	"$4,299.72"	n/a	"$4,299.72"
00835	01	A0431	3307.89	1.00	1.015	"$3,332.70"	"$4,999.05"	n/a	"$4,999.05"
00835	01	A0432	209.65	1.75	1.015	$378.15	$381.86	n/a	n/a
00835	01	A0433	209.65	2.75	1.015	$594.24	$600.07	$735.68	n/a
00835	01	A0434	209.65	3.25	1.015	$702.29	$709.17	$869.45	n/a
00835	01	A0435	8.07	1.00	1.015	$8.07	$12.11	n/a	$12.11
00835	01	A0436	21.53	1.00	1.015	$21.53	$32.30	n/a	$32.30
00835	99	A0425	6.74	1.00	0.964	$6.87	$6.94	n/a	$10.41
00835	99	A0426	209.65	1.20	0.964	$250.14	$252.60	$309.68	n/a
00835	99	A0427	209.65	1.90	0.964	$396.06	$399.95	$490.33	n/a
00835	99	A0428	209.65	1.00	0.964	$208.45	$210.50	$258.07	n/a
00835	99	A0429	209.65	1.60	0.964	$333.53	$336.80	$412.91	n/a
00835	99	A0430	2845.14	1.00	0.964	"$2,793.93"	"$4,190.89"	n/a	"$4,190.89"
00835	99	A0431	3307.89	1.00	0.964	"$3,248.35"	"$4,872.52"	n/a	"$4,872.52"
00835	99	A0432	209.65	1.75	0.964	$364.79	$368.37	n/a	n/a
00835	99	A0433	209.65	2.75	0.964	$573.25	$578.87	$709.69	n/a
00835	99	A0434	209.65	3.25	0.964	$677.48	$684.12	$838.73	n/a
00835	99	A0435	8.07	1.00	0.964	$8.07	$12.11	n/a	$12.11
00835	99	A0436	21.53	1.00	0.964	$21.53	$32.30	n/a	$32.30
Washington									
00836	02	A0425	6.74	1.00	1.085	$6.87	$6.94	n/a	$10.41
