CONTRACTOR/CARRIER	LOCALITY	HCPCS	RVU	GPCI	BASE RATE	URBAN BASE RATE / URBAN MILEAGE	RURAL BASE RATE / RURAL MILEAGE	RURAL BASE RATE / LOWEST QUARTILE	RURAL GROUND MILES 1-17*	
01112	52	A0426	1.20	1.271	222.29	$323.70	$326.87	$400.74	n/a	
01112	52	A0427	1.90	1.271	222.29	$512.52	$517.55	$634.52	n/a	
01112	52	A0428	1.00	1.271	222.29	$269.75	$272.39	$333.95	n/a	
01112	52	A0429	1.60	1.271	222.29	$431.60	$435.83	$534.33	n/a	
01112	52	A0430	1.00	1.271	3016.51	"$3,425.25"	"$5,137.87"	n/a	"$5,137.87"	
01112	52	A0431	1.00	1.271	3507.14	"$3,982.36"	"$5,973.54"	n/a	"$5,973.54"	
01112	52	A0432	1.75	1.271	222.29	$472.06	$476.69	n/a	n/a	
01112	52	A0433	2.75	1.271	222.29	$741.81	$749.08	$918.37	n/a	
01112	52	A0434	3.25	1.271	222.29	$876.68	$885.27	"$1,085.34"	n/a	
01112	52	A0435	1.00	1.271	8.56	$8.56	$12.84	n/a	$12.84	
01112	52	A0436	1.00	1.271	22.84	$22.84	$34.26	n/a	$34.26	
01112	53	A0425	1.00	1.271	7.15	$7.29	$7.36	n/a	$11.04	
01112	53	A0426	1.20	1.271	222.29	$323.70	$326.87	$400.74	n/a	
01112	53	A0427	1.90	1.271	222.29	$512.52	$517.55	$634.52	n/a	
01112	53	A0428	1.00	1.271	222.29	$269.75	$272.39	$333.95	n/a	
01112	53	A0429	1.60	1.271	222.29	$431.60	$435.83	$534.33	n/a	
01112	53	A0430	1.00	1.271	3016.51	"$3,425.25"	"$5,137.87"	n/a	"$5,137.87"	
01112	53	A0431	1.00	1.271	3507.14	"$3,982.36"	"$5,973.54"	n/a	"$5,973.54"	
01112	53	A0432	1.75	1.271	222.29	$472.06	$476.69	n/a	n/a	
01112	53	A0433	2.75	1.271	222.29	$741.81	$749.08	$918.37	n/a	
01112	53	A0434	3.25	1.271	222.29	$876.68	$885.27	"$1,085.34"	n/a	
01112	53	A0435	1.00	1.271	8.56	$8.56	$12.84	n/a	$12.84	
01112	53	A0436	1.00	1.271	22.84	$22.84	$34.26	n/a	$34.26	
01112	54	A0425	1.00	1.079	7.15	$7.29	$7.36	n/a	$11.04	
01112	54	A0426	1.20	1.079	222.29	$287.13	$289.94	$355.47	n/a	
01112	54	A0427	1.90	1.079	222.29	$454.62	$459.08	$562.83	n/a	
01112	54	A0428	1.00	1.079	222.29	$239.27	$241.62	$296.23	n/a	
01112	54	A0429	1.60	1.079	222.29	$382.84	$386.59	$473.96	n/a	
01112	54	A0430	1.00	1.079	3016.51	"$3,135.66"	"$4,703.49"	n/a	"$4,703.49"	
01112	54	A0431	1.00	1.079	3507.14	"$3,645.67"	"$5,468.51"	n/a	"$5,468.51"	
01112	54	A0432	1.75	1.079	222.29	$418.73	$422.84	n/a	n/a	
01112	54	A0433	2.75	1.079	222.29	$658.00	$664.46	$814.63	n/a	
01112	54	A0434	3.25	1.079	222.29	$777.64	$785.27	$962.74	n/a	
01112	54	A0435	1.00	1.079	8.56	$8.56	$12.84	n/a	$12.84	
01112	54	A0436	1.00	1.079	22.84	$22.84	$34.26	n/a	$34.26	
01112	55	A0425	1.00	1.079	7.15	$7.29	$7.36	n/a	$11.04	
01112	55	A0426	1.20	1.079	222.29	$287.13	$289.94	$355.47	n/a	
01112	55	A0427	1.90	1.079	222.29	$454.62	$459.08	$562.83	n/a	
01112	55	A0428	1.00	1.079	222.29	$239.27	$241.62	$296.23	n/a	
01112	55	A0429	1.60	1.079	222.29	$382.84	$386.59	$473.96	n/a	
01112	55	A0430	1.00	1.079	3016.51	"$3,135.66"	"$4,703.49"	n/a	"$4,703.49"	
01112	55	A0431	1.00	1.079	3507.14	"$3,645.67"	"$5,468.51"	n/a	"$5,468.51"	
01112	55	A0432	1.75	1.079	222.29	$418.73	$422.84	n/a	n/a	
01112	55	A0433	2.75	1.079	222.29	$658.00	$664.46	$814.63	n/a	
01112	55	A0434	3.25	1.079	222.29	$777.64	$785.27	$962.74	n/a	
01112	55	A0435	1.00	1.079	8.56	$8.56	$12.84	n/a	$12.84	
01112	55	A0436	1.00	1.079	22.84	$22.84	$34.26	n/a	$34.26	
01112	56	A0425	1.00	1.079	7.15	$7.29	$7.36	n/a	$11.04	
01112	56	A0426	1.20	1.079	222.29	$287.13	$289.94	$355.47	n/a	
01112	56	A0427	1.90	1.079	222.29	$454.62	$459.08	$562.83	n/a	
01112	56	A0428	1.00	1.079	222.29	$239.27	$241.62	$296.23	n/a	
01112	56	A0429	1.60	1.079	222.29	$382.84	$386.59	$473.96	n/a	
01112	56	A0430	1.00	1.079	3016.51	"$3,135.66"	"$4,703.49"	n/a	"$4,703.49"	
01112	56	A0431	1.00	1.079	3507.14	"$3,645.67"	"$5,468.51"	n/a	"$5,468.51"	
01112	56	A0432	1.75	1.079	222.29	$418.73	$422.84	n/a	n/a	
01112	56	A0433	2.75	1.079	222.29	$658.00	$664.46	$814.63	n/a	
01112	56	A0434	3.25	1.079	222.29	$777.64	$785.27	$962.74	n/a	
01112	56	A0435	1.00	1.079	8.56	$8.56	$12.84	n/a	$12.84	
01112	56	A0436	1.00	1.079	22.84	$22.84	$34.26	n/a	$34.26	
01112	57	A0425	1.00	1.079	7.15	$7.29	$7.36	n/a	$11.04	
01112	57	A0426	1.20	1.079	222.29	$287.13	$289.94	$355.47	n/a	
01112	57	A0427	1.90	1.079	222.29	$454.62	$459.08	$562.83	n/a	
01112	57	A0428	1.00	1.079	222.29	$239.27	$241.62	$296.23	n/a	
01112	57	A0429	1.60	1.079	222.29	$382.84	$386.59	$473.96	n/a	
01112	57	A0430	1.00	1.079	3016.51	"$3,135.66"	"$4,703.49"	n/a	"$4,703.49"	
01112	57	A0431	1.00	1.079	3507.14	"$3,645.67"	"$5,468.51"	n/a	"$5,468.51"	
01112	57	A0432	1.75	1.079	222.29	$418.73	$422.84	n/a	n/a	
01112	57	A0433	2.75	1.079	222.29	$658.00	$664.46	$814.63	n/a	
01112	57	A0434	3.25	1.079	222.29	$777.64	$785.27	$962.74	n/a	
01112	57	A0435	1.00	1.079	8.56	$8.56	$12.84	n/a	$12.84	
01112	57	A0436	1.00	1.079	22.84	$22.84	$34.26	n/a	$34.26	
01112	58	A0425	1.00	1.079	7.15	$7.29	$7.36	n/a	$11.04	
01112	58	A0426	1.20	1.079	222.29	$287.13	$289.94	$355.47	n/a	
01112	58	A0427	1.90	1.079	222.29	$454.62	$459.08	$562.83	n/a	
01112	58	A0428	1.00	1.079	222.29	$239.27	$241.62	$296.23	n/a	
01112	58	A0429	1.60	1.079	222.29	$382.84	$386.59	$473.96	n/a	
01112	58	A0430	1.00	1.079	3016.51	"$3,135.66"	"$4,703.49"	n/a	"$4,703.49"	
01112	58	A0431	1.00	1.079	3507.14	"$3,645.67"	"$5,468.51"	n/a	"$5,468.51"	
01112	58	A0432	1.75	1.079	222.29	$418.73	$422.84	n/a	n/a	
01112	58	A0433	2.75	1.079	222.29	$658.00	$664.46	$814.63	n/a	
01112	58	A0434	3.25	1.079	222.29	$777.64	$785.27	$962.74	n/a	
01112	58	A0435	1.00	1.079	8.56	$8.56	$12.84	n/a	$12.84	
01112	58	A0436	1.00	1.079	22.84	$22.84	$34.26	n/a	$34.26	
01112	59	A0425	1.00	1.079	7.15	$7.29	$7.36	n/a	$11.04	
01112	59	A0426	1.20	1.079	222.29	$287.13	$289.94	$355.47	n/a	
01112	59	A0427	1.90	1.079	222.29	$454.62	$459.08	$562.83	n/a	
01112	59	A0428	1.00	1.079	222.29	$239.27	$241.62	$296.23	n/a	
01112	59	A0429	1.60	1.079	222.29	$382.84	$386.59	$473.96	n/a	
01112	59	A0430	1.00	1.079	3016.51	"$3,135.66"	"$4,703.49"	n/a	"$4,703.49"	
01112	59	A0431	1.00	1.079	3507.14	"$3,645.67"	"$5,468.51"	n/a	"$5,468.51"	
01112	59	A0432	1.75	1.079	222.29	$418.73	$422.84	n/a	n/a	
01112	59	A0433	2.75	1.079	222.29	$658.00	$664.46	$814.63	n/a	
01112	59	A0434	3.25	1.079	222.29	$777.64	$785.27	$962.74	n/a	
01112	59	A0435	1.00	1.079	8.56	$8.56	$12.84	n/a	$12.84	
01112	59	A0436	1.00	1.079	22.84	$22.84	$34.26	n/a	$34.26	
01112	60	A0425	1.00	1.079	7.15	$7.29	$7.36	n/a	$11.04	
01112	60	A0426	1.20	1.079	222.29	$287.13	$289.94	$355.47	n/a	
01112	60	A0427	1.90	1.079	222.29	$454.62	$459.08	$562.83	n/a	
01112	60	A0428	1.00	1.079	222.29	$239.27	$241.62	$296.23	n/a	
01112	60	A0429	1.60	1.079	222.29	$382.84	$386.59	$473.96	n/a	
01112	60	A0430	1.00	1.079	3016.51	"$3,135.66"	"$4,703.49"	n/a	"$4,703.49"	
01112	60	A0431	1.00	1.079	3507.14	"$3,645.67"	"$5,468.51"	n/a	"$5,468.51"	
01112	60	A0432	1.75	1.079	222.29	$418.73	$422.84	n/a	n/a	
01112	60	A0433	2.75	1.079	222.29	$658.00	$664.46	$814.63	n/a	
01112	60	A0434	3.25	1.079	222.29	$777.64	$785.27	$962.74	n/a	
01112	60	A0435	1.00	1.079	8.56	$8.56	$12.84	n/a	$12.84	
01112	60	A0436	1.00	1.079	22.84	$22.84	$34.26	n/a	$34.26	
01112	61	A0425	1.00	1.079	7.15	$7.29	$7.36	n/a	$11.04	
01112	61	A0426	1.20	1.079	222.29	$287.13	$289.94	$355.47	n/a	
01112	61	A0427	1.90	1.079	222.29	$454.62	$459.08	$562.83	n/a	
01112	61	A0428	1.00	1.079	222.29	$239.27	$241.62	$296.23	n/a	
01112	61	A0429	1.60	1.079	222.29	$382.84	$386.59	$473.96	n/a	
01112	61	A0430	1.00	1.079	3016.51	"$3,135.66"	"$4,703.49"	n/a	"$4,703.49"	
01112	61	A0431	1.00	1.079	3507.14	"$3,645.67"	"$5,468.51"	n/a	"$5,468.51"	
01112	61	A0432	1.75	1.079	222.29	$418.73	$422.84	n/a	n/a	
01112	61	A0433	2.75	1.079	222.29	$658.00	$664.46	$814.63	n/a	
01112	61	A0434	3.25	1.079	222.29	$777.64	$785.27	$962.74	n/a	
01112	61	A0435	1.00	1.079	8.56	$8.56	$12.84	n/a	$12.84	
01112	61	A0436	1.00	1.079	22.84	$22.84	$34.26	n/a	$34.26	
01112	62	A0425	1.00	1.079	7.15	$7.29	$7.36	n/a	$11.04	
01112	62	A0426	1.20	1.079	222.29	$287.13	$289.94	$355.47	n/a	
01112	62	A0427	1.90	1.079	222.29	$454.62	$459.08	$562.83	n/a	
01112	62	A0428	1.00	1.079	222.29	$239.27	$241.62	$296.23	n/a	
01112	62	A0429	1.60	1.079	222.29	$382.84	$386.59	$473.96	n/a	
01112	62	A0430	1.00	1.079	3016.51	"$3,135.66"	"$4,703.49"	n/a	"$4,703.49"	
01112	62	A0431	1.00	1.079	3507.14	"$3,645.67"	"$5,468.51"	n/a	"$5,468.51"	
01112	62	A0432	1.75	1.079	222.29	$418.73	$422.84	n/a	n/a	
01112	62	A0433	2.75	1.079	222.29	$658.00	$664.46	$814.63	n/a	
01112	62	A0434	3.25	1.079	222.29	$777.64	$785.27	$962.74	n/a	
01112	62	A0435	1.00	1.079	8.56	$8.56	$12.84	n/a	$12.84	
01112	62	A0436	1.00	1.079	22.84	$22.84	$34.26	n/a	$34.26	
01112	63	A0425	1.00	1.08	7.15	$7.29	$7.36	n/a	$11.04	
01112	63	A0426	1.20	1.08	222.29	$287.32	$290.14	$355.71	n/a	
01112	63	A0427	1.90	1.08	222.29	$454.92	$459.38	$563.20	n/a	
01112	63	A0428	1.00	1.08	222.29	$239.43	$241.78	$296.42	n/a	
01112	63	A0429	1.60	1.08	222.29	$383.09	$386.85	$474.28	n/a	
01112	63	A0430	1.00	1.08	3016.51	"$3,137.17"	"$4,705.76"	n/a	"$4,705.76"	
01112	63	A0431	1.00	1.08	3507.14	"$3,647.43"	"$5,471.14"	n/a	"$5,471.14"	
01112	63	A0432	1.75	1.08	222.29	$419.01	$423.12	n/a	n/a	
01112	63	A0433	2.75	1.08	222.29	$658.44	$664.90	$815.17	n/a	
01112	63	A0434	3.25	1.08	222.29	$778.16	$785.79	$963.38	n/a	
01112	63	A0435	1.00	1.08	8.56	$8.56	$12.84	n/a	$12.84	
01112	63	A0436	1.00	1.08	22.84	$22.84	$34.26	n/a	$34.26	
